,TF,Target,Label
0,4,569,1
1,4,121,1
2,4,682,1
3,4,894,1
4,4,218,1
5,4,623,1
6,4,120,1
7,8,330,1
8,14,488,1
9,14,86,1
10,14,573,1
11,14,343,1
12,14,906,1
13,14,223,1
14,14,683,1
15,14,526,1
16,14,757,1
17,14,203,1
18,14,100,1
19,14,348,1
20,14,67,1
21,16,46,1
22,19,734,1
23,19,433,1
24,19,741,1
25,19,228,1
26,20,795,1
27,21,706,1
28,21,24,1
29,21,245,1
30,24,21,1
31,24,261,1
32,24,845,1
33,24,100,1
34,27,87,1
35,27,223,1
36,27,732,1
37,27,177,1
38,27,498,1
39,31,330,1
40,31,507,1
41,31,336,1
42,31,807,1
43,31,816,1
44,31,794,1
45,31,39,1
46,31,487,1
47,31,206,1
48,31,474,1
49,31,97,1
50,31,77,1
51,31,907,1
52,31,665,1
53,31,413,1
54,31,241,1
55,35,40,1
56,35,651,1
57,35,541,1
58,35,164,1
59,35,516,1
60,35,196,1
61,35,512,1
62,35,326,1
63,35,301,1
64,35,336,1
65,35,125,1
66,35,358,1
67,35,606,1
68,35,384,1
69,35,452,1
70,38,40,1
71,38,621,1
72,40,881,1
73,40,848,1
74,40,512,1
75,40,618,1
76,40,365,1
77,40,406,1
78,40,575,1
79,40,38,1
80,41,266,1
81,41,815,1
82,45,330,1
83,52,219,1
84,52,868,1
85,57,270,1
86,61,454,1
87,62,320,1
88,69,254,1
89,69,724,1
90,69,678,1
91,69,78,1
92,69,152,1
93,69,735,1
94,69,555,1
95,69,576,1
96,69,117,1
97,69,17,1
98,69,723,1
99,69,526,1
100,69,330,1
101,69,765,1
102,69,3,1
103,69,100,1
104,69,384,1
105,69,705,1
106,69,223,1
107,69,568,1
108,74,65,1
109,74,580,1
110,74,515,1
111,74,450,1
112,74,242,1
113,74,353,1
114,74,879,1
115,74,331,1
116,76,651,1
117,77,80,1
118,77,788,1
119,77,455,1
120,77,439,1
121,77,655,1
122,77,340,1
123,77,857,1
124,77,300,1
125,77,896,1
126,77,385,1
127,77,906,1
128,77,270,1
129,77,514,1
130,77,334,1
131,77,705,1
132,77,56,1
133,77,74,1
134,77,879,1
135,77,726,1
136,77,797,1
137,77,853,1
138,77,87,1
139,77,549,1
140,77,775,1
141,77,664,1
142,77,757,1
143,77,816,1
144,77,765,1
145,77,801,1
146,77,76,1
147,77,521,1
148,77,863,1
149,77,580,1
150,77,737,1
151,80,145,1
152,81,330,1
153,81,483,1
154,85,446,1
155,85,402,1
156,85,408,1
157,85,585,1
158,85,388,1
159,85,827,1
160,85,101,1
161,85,114,1
162,85,526,1
163,85,775,1
164,85,478,1
165,85,382,1
166,85,22,1
167,85,618,1
168,85,40,1
169,85,500,1
170,85,20,1
171,85,742,1
172,85,244,1
173,85,52,1
174,85,829,1
175,85,216,1
176,85,489,1
177,85,594,1
178,85,384,1
179,85,613,1
180,85,823,1
181,85,273,1
182,85,859,1
183,85,143,1
184,85,6,1
185,85,71,1
186,85,795,1
187,85,552,1
188,85,504,1
189,85,627,1
190,85,385,1
191,85,698,1
192,85,772,1
193,85,651,1
194,85,662,1
195,85,115,1
196,85,432,1
197,85,468,1
198,85,312,1
199,85,121,1
200,85,47,1
201,85,583,1
202,85,308,1
203,85,347,1
204,85,530,1
205,85,157,1
206,85,628,1
207,85,558,1
208,85,721,1
209,85,425,1
210,85,279,1
211,85,239,1
212,85,704,1
213,85,81,1
214,85,561,1
215,85,337,1
216,85,448,1
217,85,895,1
218,85,565,1
219,85,371,1
220,85,549,1
221,85,221,1
222,85,23,1
223,85,865,1
224,85,528,1
225,85,105,1
226,85,305,1
227,85,462,1
228,85,640,1
229,85,350,1
230,85,77,1
231,85,265,1
232,85,110,1
233,85,392,1
234,85,171,1
235,85,890,1
236,85,64,1
237,85,286,1
238,85,860,1
239,85,707,1
240,85,262,1
241,85,776,1
242,85,656,1
243,85,69,1
244,85,581,1
245,85,276,1
246,85,342,1
247,85,854,1
248,85,377,1
249,85,749,1
250,85,330,1
251,85,596,1
252,85,523,1
253,85,345,1
254,85,491,1
255,85,623,1
256,85,463,1
257,85,438,1
258,85,274,1
259,85,658,1
260,85,3,1
261,85,271,1
262,85,31,1
