,TF,Target,Label
0,1,184,1
1,1,311,1
2,6,201,1
3,6,75,1
4,6,542,1
5,6,763,1
6,6,614,1
7,10,618,1
8,10,796,1
9,14,942,1
10,20,602,1
11,20,474,1
12,20,104,1
13,26,410,1
14,29,281,1
15,37,828,1
16,38,319,1
17,38,360,1
18,38,556,1
19,38,614,1
20,38,470,1
21,38,538,1
22,38,113,1
23,38,518,1
24,38,393,1
25,38,202,1
26,44,287,1
27,48,736,1
28,48,763,1
29,54,319,1
30,54,445,1
31,54,828,1
32,60,794,1
33,60,721,1
34,60,759,1
35,66,393,1
36,66,519,1
37,67,821,1
38,67,614,1
39,68,249,1
40,68,661,1
41,68,7,1
42,68,114,1
43,68,539,1
44,68,308,1
45,68,209,1
46,68,336,1
47,68,182,1
48,68,287,1
49,68,245,1
50,68,582,1
51,68,877,1
52,68,412,1
53,68,574,1
54,68,840,1
55,68,311,1
56,68,338,1
57,68,430,1
58,68,33,1
59,68,72,1
60,68,472,1
61,68,639,1
62,68,512,1
63,68,60,1
64,68,289,1
65,68,363,1
66,68,678,1
67,68,384,1
68,68,375,1
69,68,845,1
70,68,150,1
71,68,84,1
72,68,314,1
73,68,127,1
74,68,468,1
75,68,557,1
76,68,399,1
77,68,48,1
78,68,906,1
79,68,707,1
80,68,623,1
81,68,826,1
82,68,477,1
83,68,714,1
84,68,264,1
85,68,239,1
86,68,447,1
87,68,692,1
88,68,372,1
89,68,189,1
90,68,87,1
91,68,829,1
92,68,669,1
93,68,297,1
94,68,890,1
95,68,593,1
96,68,637,1
97,68,328,1
98,68,783,1
99,68,18,1
100,68,805,1
101,68,719,1
102,68,281,1
103,68,585,1
104,68,734,1
105,68,115,1
106,68,807,1
107,68,61,1
108,68,656,1
109,68,434,1
110,68,141,1
111,68,566,1
112,68,461,1
113,68,913,1
114,68,915,1
115,68,367,1
116,68,199,1
117,68,484,1
118,68,947,1
119,68,327,1
120,68,236,1
121,68,674,1
122,68,414,1
123,68,218,1
124,68,138,1
125,68,722,1
126,69,767,1
127,69,227,1
128,71,663,1
129,75,817,1
130,75,6,1
131,75,474,1
132,75,671,1
133,78,393,1
134,81,276,1
135,81,229,1
136,85,942,1
137,85,868,1
138,86,836,1
139,86,276,1
140,86,138,1
141,86,427,1
142,86,306,1
143,86,513,1
144,86,405,1
145,86,20,1
146,86,292,1
147,86,156,1
148,86,143,1
149,92,598,1
150,93,821,1
151,93,796,1
152,101,930,1
153,101,765,1
154,104,817,1
155,104,905,1
156,104,529,1
157,104,20,1
158,108,265,1
159,109,292,1
160,113,915,1
161,113,924,1
162,113,902,1
163,113,799,1
164,113,99,1
165,119,893,1
166,119,680,1
167,119,556,1
168,119,434,1
169,119,29,1
170,119,397,1
171,119,597,1
172,119,420,1
173,119,212,1
174,119,157,1
175,119,365,1
176,119,547,1
177,119,85,1
178,119,711,1
179,119,56,1
180,119,473,1
181,119,367,1
182,119,910,1
183,119,236,1
184,119,479,1
185,119,560,1
186,119,573,1
187,119,400,1
188,119,586,1
189,119,328,1
190,119,775,1
191,119,69,1
192,119,321,1
193,119,49,1
194,119,419,1
195,119,172,1
196,119,563,1
197,119,840,1
198,119,741,1
199,119,746,1
200,119,480,1
201,119,189,1
202,119,271,1
203,119,693,1
204,119,839,1
205,119,486,1
206,119,683,1
207,119,121,1
208,119,529,1
209,119,719,1
210,119,349,1
211,119,193,1
212,119,837,1
213,119,60,1
214,119,937,1
215,119,592,1
216,119,678,1
217,119,519,1
218,119,811,1
219,119,759,1
220,119,115,1
221,119,614,1
222,119,48,1
223,119,283,1
224,119,467,1
225,119,377,1
226,119,906,1
227,119,851,1
228,119,139,1
229,119,274,1
230,119,915,1
231,119,200,1
232,119,692,1
233,119,885,1
234,119,185,1
235,119,772,1
236,119,454,1
237,119,667,1
238,119,861,1
239,119,232,1
240,119,824,1
241,119,186,1
242,119,281,1
243,120,537,1
244,124,767,1
245,132,682,1
246,133,286,1
247,133,327,1
248,139,371,1
249,139,472,1
250,140,614,1
251,140,776,1
252,140,264,1
253,140,138,1
254,140,913,1
255,140,466,1
256,140,938,1
257,140,652,1
258,140,444,1
259,140,213,1
260,140,321,1
261,140,572,1
262,140,139,1
263,140,834,1
264,140,232,1
265,140,462,1
266,140,123,1
267,140,692,1
268,140,292,1
269,145,914,1
270,146,360,1
271,146,661,1
272,156,181,1
273,156,625,1
274,156,281,1
275,156,828,1
276,156,671,1
277,156,682,1
278,156,487,1
279,156,738,1
280,158,305,1
281,158,18,1
282,158,17,1
283,158,85,1
284,158,8,1
285,158,83,1
286,158,740,1
287,158,354,1
288,158,828,1
289,158,162,1
290,158,476,1
291,158,745,1
292,158,841,1
293,158,233,1
294,158,756,1
295,158,667,1
296,158,699,1
297,158,234,1
298,158,938,1
299,158,538,1
300,158,634,1
301,158,284,1
302,158,157,1
303,158,311,1
304,158,281,1
305,158,921,1
306,158,117,1
307,158,169,1
308,158,260,1
309,158,271,1
310,158,197,1
311,158,88,1
312,158,156,1
313,158,352,1
314,158,53,1
315,158,183,1
316,158,835,1
317,158,230,1
318,158,467,1
319,158,643,1
320,158,687,1
321,158,173,1
322,158,221,1
323,158,530,1
324,158,616,1
325,158,292,1
326,158,427,1
327,158,249,1
328,158,276,1
329,158,214,1
330,158,922,1
331,158,339,1
332,158,492,1
333,158,746,1
334,158,886,1
335,158,752,1
336,158,455,1
337,158,648,1
338,158,380,1
339,158,753,1
340,158,794,1
341,158,407,1
342,158,315,1
343,158,509,1
344,158,567,1
345,158,364,1
346,158,478,1
347,158,316,1
348,158,299,1
349,158,560,1
350,158,897,1
351,158,641,1
352,158,701,1
353,158,569,1
354,158,614,1
355,158,274,1
356,158,363,1
357,158,372,1
358,158,881,1
359,158,124,1
360,158,297,1
361,158,454,1
362,158,371,1
363,158,391,1
364,158,497,1
365,158,512,1
366,158,578,1
367,158,660,1
368,158,711,1
369,158,522,1
370,158,800,1
371,158,19,1
372,158,181,1
373,158,677,1
374,158,766,1
375,158,99,1
376,158,888,1
377,158,870,1
378,158,232,1
379,158,556,1
380,158,561,1
381,158,572,1
382,158,656,1
383,158,198,1
384,158,781,1
385,158,465,1
386,158,821,1
387,158,834,1
388,158,154,1
389,158,669,1
390,158,204,1
391,158,694,1
392,158,263,1
393,158,287,1
394,158,324,1
395,158,906,1
396,158,101,1
397,158,179,1
398,158,360,1
399,159,480,1
400,159,357,1
401,159,493,1
402,159,158,1
403,168,834,1
404,169,311,1
405,169,393,1
406,169,1,1
407,176,764,1
408,176,455,1
