,TF,Target,Label
0,0,208,1
1,0,151,1
2,0,645,1
3,0,146,1
4,0,586,1
5,0,551,1
6,0,652,1
7,0,782,1
8,0,567,1
9,0,667,1
10,5,424,1
11,5,256,1
12,5,86,1
13,5,727,1
14,6,302,1
15,14,618,1
16,14,65,1
17,14,803,1
18,14,603,1
19,14,34,1
20,14,802,1
21,14,95,1
22,14,366,1
23,14,411,1
24,14,240,1
25,14,553,1
26,14,115,1
27,14,163,1
28,14,320,1
29,14,451,1
30,14,729,1
31,14,402,1
32,14,357,1
33,15,497,1
34,16,43,1
35,24,717,1
36,24,263,1
37,24,350,1
38,24,625,1
39,26,239,1
40,26,774,1
41,26,397,1
42,26,460,1
43,26,530,1
44,26,387,1
45,26,6,1
46,26,353,1
47,26,30,1
48,26,241,1
49,26,603,1
50,26,765,1
51,26,405,1
52,26,424,1
53,26,320,1
54,29,610,1
55,32,603,1
56,32,590,1
57,32,554,1
58,32,451,1
59,32,553,1
60,32,366,1
61,32,765,1
62,32,290,1
63,32,411,1
64,32,163,1
65,32,319,1
66,32,803,1
67,34,600,1
68,34,688,1
69,34,385,1
70,34,681,1
71,34,315,1
72,34,447,1
73,34,536,1
74,34,463,1
75,34,644,1
76,42,167,1
77,42,244,1
78,42,156,1
79,42,300,1
80,42,313,1
81,42,323,1
82,42,203,1
83,42,778,1
84,42,669,1
85,42,185,1
86,42,777,1
87,42,496,1
88,42,752,1
89,43,729,1
90,43,16,1
91,43,605,1
92,43,717,1
93,43,322,1
94,43,98,1
95,43,253,1
96,43,34,1
97,43,350,1
98,43,198,1
99,43,529,1
100,43,401,1
101,44,86,1
102,44,160,1
103,47,631,1
104,50,103,1
105,56,610,1
106,61,320,1
107,61,528,1
108,67,108,1
109,68,446,1
110,68,464,1
111,68,727,1
112,68,652,1
113,71,287,1
114,71,729,1
115,71,561,1
116,71,616,1
117,71,727,1
118,79,171,1
119,79,71,1
120,79,616,1
121,79,139,1
122,80,790,1
123,80,360,1
124,80,384,1
125,80,539,1
126,80,497,1
127,80,553,1
128,80,439,1
129,80,479,1
130,80,580,1
131,80,604,1
132,80,394,1
133,80,160,1
134,80,597,1
135,80,691,1
136,80,305,1
137,80,21,1
138,80,257,1
139,80,532,1
140,80,419,1
141,80,624,1
142,80,352,1
143,80,707,1
144,80,341,1
145,80,135,1
146,80,45,1
147,80,358,1
148,80,32,1
149,80,156,1
150,80,613,1
151,80,465,1
152,80,464,1
153,80,164,1
154,80,486,1
155,80,151,1
156,80,205,1
157,80,798,1
158,80,340,1
159,80,377,1
160,80,808,1
161,80,348,1
162,80,576,1
163,80,58,1
164,80,736,1
165,80,259,1
166,80,193,1
167,80,435,1
168,80,596,1
169,80,721,1
170,80,241,1
171,80,222,1
172,80,421,1
173,80,149,1
174,80,180,1
175,80,350,1
176,80,304,1
177,80,40,1
178,80,229,1
179,80,533,1
180,80,345,1
181,80,566,1
182,80,85,1
183,80,65,1
184,80,103,1
185,80,23,1
186,80,157,1
187,80,440,1
188,80,309,1
189,80,334,1
190,80,662,1
191,80,237,1
192,80,361,1
193,80,266,1
194,80,641,1
195,80,366,1
196,80,26,1
197,80,679,1
198,83,207,1
199,83,301,1
200,83,755,1
201,83,11,1
202,83,176,1
203,83,509,1
204,83,130,1
205,83,570,1
206,83,92,1
207,83,223,1
208,83,456,1
209,83,745,1
210,83,116,1
211,83,669,1
212,83,362,1
213,83,614,1
214,83,142,1
215,83,86,1
216,83,350,1
217,83,712,1
218,83,430,1
219,83,48,1
220,83,330,1
221,83,666,1
222,83,499,1
223,83,717,1
224,83,169,1
225,83,259,1
226,83,769,1
227,83,774,1
228,86,525,1
229,86,119,1
230,86,353,1
231,86,198,1
232,86,44,1
233,86,647,1
234,86,566,1
235,86,205,1
236,86,681,1
237,86,653,1
238,86,207,1
239,86,717,1
240,86,432,1
241,86,519,1
242,86,483,1
243,86,83,1
244,86,320,1
245,86,139,1
