,TF,Target,Label
0,0,723,1
1,1,582,1
2,1,1317,1
3,2,653,1
4,2,1038,1
5,2,317,1
6,2,773,1
7,2,538,1
8,2,813,1
9,2,355,1
10,2,1438,1
11,8,1479,1
12,8,673,1
13,8,1130,1
14,9,962,1
15,9,449,1
16,9,1049,1
17,9,1292,1
18,9,128,1
19,9,904,1
20,9,983,1
21,9,1599,1
22,9,1410,1
23,9,467,1
24,9,191,1
25,9,21,1
26,9,497,1
27,9,1273,1
28,9,140,1
29,9,1476,1
30,9,584,1
31,9,547,1
32,9,1533,1
33,9,631,1
34,9,499,1
35,9,269,1
36,9,1390,1
37,9,1159,1
38,9,320,1
39,9,374,1
40,9,392,1
41,9,1125,1
42,9,255,1
43,9,1069,1
44,9,1459,1
45,9,491,1
46,9,1362,1
47,9,171,1
48,9,1247,1
49,9,996,1
50,9,1379,1
51,9,1544,1
52,9,815,1
53,9,1211,1
54,9,1241,1
55,9,5,1
56,9,407,1
57,9,1071,1
58,9,1109,1
59,9,527,1
60,9,358,1
61,9,959,1
62,9,222,1
63,9,168,1
64,9,1450,1
65,9,352,1
66,9,1318,1
67,9,1004,1
68,9,15,1
69,9,1458,1
70,9,1046,1
71,9,215,1
72,9,1436,1
73,9,1203,1
74,9,1144,1
75,9,820,1
76,9,1101,1
77,9,992,1
78,9,1256,1
79,9,1258,1
80,9,516,1
81,9,1014,1
82,9,1460,1
83,9,1608,1
84,9,456,1
85,9,290,1
86,9,884,1
87,9,453,1
88,9,1077,1
89,9,1336,1
90,9,1596,1
91,9,1496,1
92,9,1474,1
93,9,704,1
94,9,1111,1
95,9,830,1
96,9,1534,1
97,9,96,1
98,9,676,1
99,9,660,1
100,9,801,1
101,9,190,1
102,9,1422,1
103,9,774,1
104,9,703,1
105,9,469,1
106,9,238,1
107,9,1180,1
108,9,1152,1
109,9,1575,1
110,9,220,1
111,9,515,1
112,9,137,1
113,9,1600,1
114,9,1371,1
115,9,1213,1
116,9,960,1
117,9,988,1
118,9,10,1
119,9,1288,1
120,9,856,1
121,9,1161,1
122,9,412,1
123,9,112,1
124,9,463,1
125,9,1028,1
126,9,1329,1
127,9,1560,1
128,9,500,1
129,9,942,1
130,9,760,1
131,9,652,1
132,9,1056,1
133,9,224,1
134,9,1275,1
135,9,27,1
136,9,920,1
137,9,919,1
138,9,356,1
139,9,683,1
140,9,786,1
141,9,1011,1
142,9,1561,1
143,9,616,1
144,9,1408,1
145,9,563,1
146,9,1199,1
147,9,101,1
148,9,1108,1
149,9,382,1
150,10,676,1
151,17,832,1
152,17,1249,1
153,17,1495,1
154,17,155,1
155,17,129,1
156,17,1152,1
157,17,192,1
158,17,510,1
159,18,459,1
160,18,557,1
161,18,879,1
162,18,1355,1
163,18,601,1
164,18,1052,1
165,18,278,1
166,21,144,1
167,21,1314,1
168,21,941,1
169,21,1079,1
170,21,1159,1
171,21,274,1
172,21,1312,1
173,21,189,1
174,21,1236,1
175,21,48,1
176,21,486,1
177,21,557,1
178,21,914,1
179,21,1480,1
180,21,1138,1
181,21,33,1
182,21,1067,1
183,21,732,1
184,21,317,1
185,21,585,1
186,21,1458,1
187,21,857,1
188,21,919,1
189,21,154,1
190,21,1049,1
191,21,277,1
192,21,80,1
193,21,652,1
194,21,983,1
195,21,1087,1
196,21,786,1
197,21,700,1
198,21,678,1
199,21,741,1
200,21,696,1
201,21,899,1
202,21,1210,1
203,21,260,1
204,21,721,1
205,21,380,1
206,21,1613,1
207,21,490,1
208,21,1592,1
209,21,432,1
210,21,69,1
211,21,478,1
212,21,5,1
213,21,1063,1
214,21,872,1
215,21,534,1
216,21,771,1
217,21,505,1
218,21,559,1
219,27,1085,1
220,35,1332,1
221,35,557,1
222,35,469,1
223,35,1072,1
224,35,1548,1
225,35,1455,1
226,43,765,1
227,43,1575,1
228,43,1011,1
229,43,317,1
230,43,1093,1
231,44,545,1
232,44,1291,1
233,44,1271,1
234,44,1535,1
235,44,449,1
236,44,1553,1
237,44,1141,1
238,44,119,1
239,44,593,1
240,44,461,1
241,47,987,1
242,47,1326,1
243,47,1199,1
244,47,903,1
245,47,1003,1
246,47,1454,1
247,47,254,1
248,47,1455,1
249,47,1111,1
250,48,467,1
251,48,538,1
252,48,1288,1
253,48,1049,1
254,48,88,1
255,48,824,1
256,48,192,1
257,48,810,1
258,48,922,1
259,48,276,1
260,48,757,1
261,48,1028,1
262,48,926,1
263,48,301,1
264,48,499,1
265,48,33,1
266,48,175,1
267,48,425,1
268,48,1074,1
269,48,1552,1
270,48,366,1
271,48,144,1
272,48,974,1
273,48,329,1
274,48,677,1
275,48,1588,1
276,48,903,1
277,48,547,1
278,48,206,1
279,48,951,1
280,48,168,1
281,48,891,1
282,48,266,1
283,48,24,1
284,48,21,1
285,48,393,1
286,48,743,1
287,48,151,1
288,48,771,1
289,48,1249,1
290,48,1072,1
291,48,831,1
292,48,1472,1
293,48,664,1
294,48,585,1
295,48,197,1
296,48,937,1
297,48,1003,1
298,48,469,1
299,48,1173,1
300,48,872,1
301,48,796,1
302,48,1363,1
303,48,567,1
304,48,1500,1
305,48,818,1
306,48,1585,1
307,48,1341,1
308,48,684,1
309,48,708,1
310,48,1004,1
311,48,1600,1
312,48,1548,1
313,48,1456,1
314,48,523,1
315,48,1241,1
316,48,314,1
317,48,830,1
318,48,260,1
319,48,820,1
320,48,787,1
321,48,649,1
322,48,231,1
323,48,340,1
324,48,1495,1
325,48,601,1
326,48,1332,1
327,48,890,1
328,50,206,1
329,50,284,1
330,50,1578,1
331,52,1043,1
332,52,120,1
333,58,255,1
334,58,1054,1
335,58,601,1
336,58,373,1
337,58,324,1
338,58,235,1
339,58,263,1
340,58,244,1
341,58,1364,1
342,58,649,1
343,64,1149,1
344,64,966,1
345,64,675,1
346,64,638,1
347,64,1419,1
348,64,1451,1
349,64,1483,1
350,64,1576,1
351,64,1542,1
352,64,1331,1
353,64,302,1
354,64,1601,1
355,64,975,1
356,64,1445,1
357,64,1573,1
358,64,1217,1
359,68,374,1
360,69,1092,1
361,69,653,1
362,69,1367,1
363,69,1256,1
364,69,119,1
365,69,447,1
366,69,1222,1
367,69,1053,1
368,69,1158,1
369,69,808,1
370,69,898,1
371,69,668,1
372,69,1054,1
373,69,1043,1
374,69,926,1
375,69,1038,1
376,69,1471,1
377,69,723,1
378,70,530,1
379,70,469,1
380,70,801,1
381,70,1088,1
382,77,601,1
383,77,319,1
384,77,723,1
385,77,1249,1
386,77,1174,1
387,80,566,1
388,80,1222,1
389,80,1367,1
390,80,1187,1
391,80,926,1
392,80,1054,1
393,80,731,1
394,80,577,1
395,88,1241,1
396,88,678,1
397,88,300,1
398,88,48,1
399,91,231,1
400,91,1214,1
401,91,706,1
402,91,601,1
403,91,1054,1
404,91,1038,1
405,91,653,1
406,91,1575,1
407,91,636,1
408,91,1464,1
409,91,649,1
410,91,566,1
411,94,560,1
412,94,22,1
413,94,1422,1
414,94,145,1
415,94,1077,1
416,94,1111,1
417,94,1467,1
418,94,1589,1
419,94,849,1
420,94,210,1
421,94,1495,1
422,94,896,1
423,98,915,1
424,98,509,1
425,98,454,1
426,98,957,1
427,98,1379,1
428,98,461,1
429,98,404,1
430,98,742,1
431,98,1519,1
432,102,926,1
433,105,590,1
434,105,817,1
435,119,1199,1
436,119,189,1
437,119,389,1
438,119,128,1
439,119,254,1
440,119,1218,1
441,119,668,1
442,119,1054,1
443,119,324,1
444,119,9,1
445,120,52,1
446,120,1249,1
447,121,723,1
448,121,557,1
449,121,453,1
450,121,1326,1
451,121,566,1
452,121,879,1
453,121,1578,1
454,130,384,1
455,130,926,1
456,136,538,1
457,136,267,1
458,136,553,1
459,136,474,1
460,136,406,1
461,136,494,1
462,136,161,1
463,136,524,1
464,136,1370,1
465,136,311,1
466,136,635,1
467,136,1132,1
468,136,145,1
469,140,368,1
470,141,1057,1
471,142,1095,1
472,145,1005,1
473,145,193,1
474,145,1338,1
475,145,112,1
476,145,474,1
477,145,317,1
478,145,1355,1
479,145,1590,1
480,145,773,1
481,145,538,1
482,145,290,1
483,145,136,1
484,145,1578,1
485,145,564,1
486,145,276,1
487,145,600,1
488,145,646,1
489,145,426,1
490,145,140,1
491,145,1500,1
492,145,473,1
493,145,649,1
494,145,1370,1
495,145,431,1
496,149,969,1
497,151,432,1
498,151,563,1
499,151,834,1
500,151,355,1
501,151,1443,1
502,151,48,1
503,151,317,1
504,151,1447,1
505,152,1614,1
506,152,658,1
507,152,1063,1
508,152,584,1
509,155,509,1
510,155,896,1
511,155,55,1
512,155,1615,1
513,155,688,1
514,155,1077,1
515,155,206,1
516,155,17,1
517,155,560,1
518,155,716,1
519,155,1152,1
520,155,1467,1
521,155,129,1
522,155,1251,1
523,155,94,1
524,155,22,1
525,156,105,1
526,156,562,1
527,157,1199,1
528,157,1308,1
529,157,427,1
530,157,733,1
531,161,656,1
532,161,1132,1
533,164,1199,1
534,164,1169,1
535,164,1455,1
536,164,590,1
537,164,557,1
538,164,1447,1
539,164,338,1
540,176,723,1
541,176,1187,1
542,185,389,1
543,186,1359,1
544,189,668,1
545,189,438,1
546,189,1043,1
547,189,1291,1
548,189,389,1
549,189,1053,1
550,189,1054,1
551,190,64,1
552,190,878,1
553,190,1217,1
554,190,782,1
555,190,1331,1
556,190,1211,1
557,190,1539,1
558,191,601,1
559,192,1445,1
560,192,1211,1
561,192,1385,1
562,192,996,1
563,192,1302,1
564,192,1139,1
565,192,1068,1
566,192,520,1
567,192,801,1
568,192,1289,1
569,192,1235,1
570,192,1223,1
571,192,1215,1
572,192,450,1
573,192,1343,1
574,192,323,1
575,192,411,1
576,192,1438,1
577,192,47,1
578,192,571,1
579,192,196,1
580,192,705,1
581,192,463,1
582,192,488,1
583,192,17,1
584,192,626,1
585,192,1541,1
586,192,1453,1
587,192,1123,1
588,192,759,1
589,192,1138,1
590,192,956,1
591,192,1409,1
592,192,1422,1
593,192,182,1
594,192,220,1
595,192,297,1
596,192,124,1
597,192,1195,1
598,192,898,1
599,192,1589,1
600,192,102,1
601,192,250,1
602,192,983,1
603,192,14,1
604,192,1056,1
605,192,1552,1
606,192,590,1
607,192,171,1
608,192,467,1
609,192,1129,1
610,192,1502,1
611,192,1555,1
612,192,1527,1
613,192,1074,1
614,192,1454,1
615,192,896,1
616,192,223,1
617,192,1496,1
618,192,851,1
619,192,48,1
620,192,1065,1
621,192,1007,1
622,192,1077,1
623,192,199,1
624,192,366,1
625,192,1101,1
626,192,1619,1
627,192,1291,1
628,192,572,1
629,192,504,1
630,192,360,1
631,192,1342,1
632,192,418,1
633,192,68,1
634,192,408,1
635,192,219,1
636,192,1389,1
637,192,918,1
638,192,1319,1
639,192,1038,1
640,192,588,1
641,192,409,1
642,192,591,1
643,192,1388,1
644,192,489,1
645,192,65,1
646,192,945,1
647,192,438,1
648,192,1387,1
649,192,1326,1
650,192,870,1
651,192,1201,1
652,192,1250,1
653,192,1546,1
654,192,1241,1
655,192,744,1
656,192,567,1
657,192,60,1
658,192,1127,1
659,192,849,1
660,192,838,1
661,192,614,1
662,192,733,1
663,192,321,1
664,192,820,1
665,192,509,1
666,192,230,1
667,192,916,1
668,192,101,1
669,192,421,1
670,192,252,1
671,192,280,1
672,192,267,1
673,192,1574,1
674,192,262,1
675,192,1395,1
676,192,2,1
677,192,103,1
678,192,538,1
679,192,1600,1
680,192,1043,1
681,192,1566,1
682,192,502,1
683,192,1055,1
684,192,132,1
685,192,235,1
686,192,924,1
687,192,229,1
688,192,734,1
689,192,699,1
690,192,1482,1
691,192,100,1
692,192,119,1
693,192,713,1
694,192,1340,1
695,192,1042,1
696,192,72,1
697,192,1611,1
698,192,1174,1
699,192,823,1
700,192,160,1
701,192,791,1
702,192,120,1
703,192,1220,1
704,192,1507,1
705,192,1070,1
706,192,1232,1
707,192,368,1
708,192,1004,1
709,192,98,1
710,192,276,1
711,192,8,1
712,192,49,1
713,192,1191,1
714,192,598,1
715,192,934,1
716,192,668,1
717,192,9,1
718,192,926,1
719,192,21,1
720,192,373,1
721,197,432,1
722,198,1308,1
723,198,48,1
724,198,1132,1
725,198,543,1
726,198,838,1
727,198,274,1
728,198,561,1
729,202,1296,1
730,210,94,1
731,211,1149,1
732,218,1191,1
733,219,723,1
734,225,601,1
735,225,566,1
736,228,1447,1
737,228,544,1
738,231,1038,1
739,231,43,1
740,231,919,1
741,231,1219,1
742,231,1054,1
743,231,1364,1
744,231,91,1
745,231,1464,1
746,231,248,1
747,231,566,1
748,234,762,1
749,234,340,1
750,234,91,1
751,234,1500,1
752,235,1601,1
753,235,263,1
754,235,1211,1
755,235,58,1
756,242,1191,1
757,242,903,1
758,244,58,1
759,244,1054,1
760,244,524,1
761,244,1291,1
762,244,1440,1
763,244,926,1
764,244,1355,1
765,245,980,1
