,TF,Target,Label
0,2,641,1
1,7,665,1
2,7,483,1
3,7,793,1
4,7,373,1
5,7,744,1
6,7,48,1
7,7,628,1
8,7,1131,1
9,7,484,1
10,7,1142,1
11,7,22,1
12,7,1138,1
13,7,725,1
14,7,9,1
15,7,552,1
16,7,364,1
17,7,795,1
18,7,134,1
19,7,398,1
20,7,548,1
21,7,605,1
22,7,762,1
23,7,670,1
24,7,125,1
25,7,726,1
26,7,525,1
27,7,4,1
28,7,325,1
29,7,367,1
30,7,108,1
31,7,936,1
32,7,171,1
33,18,292,1
34,18,490,1
35,18,986,1
36,20,198,1
37,20,483,1
38,20,484,1
39,20,763,1
40,20,1147,1
41,22,625,1
42,22,678,1
43,22,607,1
44,22,354,1
45,22,936,1
46,22,134,1
47,22,670,1
48,22,473,1
49,22,744,1
50,22,350,1
51,22,1190,1
52,22,498,1
53,22,48,1
54,22,552,1
55,22,884,1
56,22,373,1
57,22,605,1
58,22,871,1
59,22,648,1
60,22,4,1
61,22,1106,1
62,22,726,1
63,22,108,1
64,22,1131,1
65,22,548,1
66,22,330,1
67,22,683,1
68,22,288,1
69,22,383,1
70,22,125,1
71,40,220,1
72,40,933,1
73,40,847,1
74,40,57,1
75,40,78,1
76,40,803,1
77,52,484,1
78,62,152,1
79,62,743,1
80,62,1021,1
81,62,1156,1
82,68,504,1
83,68,480,1
84,68,491,1
85,68,1145,1
86,68,904,1
87,68,181,1
88,68,174,1
89,68,730,1
90,68,454,1
91,68,1077,1
92,68,1023,1
93,68,790,1
94,68,228,1
95,68,1115,1
96,68,45,1
97,68,106,1
98,68,1071,1
99,68,442,1
100,68,923,1
101,68,1148,1
102,68,133,1
103,68,857,1
104,68,543,1
105,68,890,1
106,68,721,1
107,68,586,1
108,68,507,1
109,68,76,1
110,68,170,1
111,68,482,1
112,68,86,1
113,68,879,1
114,69,438,1
115,76,1156,1
116,76,721,1
117,76,166,1
118,76,61,1
119,76,1046,1
120,76,1041,1
121,76,290,1
122,76,1177,1
123,76,847,1
124,76,596,1
125,76,104,1
126,76,135,1
127,76,743,1
128,76,1165,1
129,76,1162,1
130,78,44,1
131,78,40,1
132,78,721,1
133,78,858,1
134,78,853,1
135,78,1039,1
136,78,176,1
137,78,775,1
138,78,1096,1
139,78,927,1
140,78,261,1
141,78,439,1
142,78,847,1
143,78,312,1
144,99,714,1
145,99,901,1
146,100,637,1
147,100,1125,1
148,100,714,1
149,100,517,1
150,104,460,1
151,112,1027,1
152,112,666,1
153,130,483,1
154,130,14,1
155,150,53,1
156,150,66,1
157,150,214,1
158,150,305,1
159,150,853,1
160,150,291,1
161,151,885,1
162,151,355,1
163,152,62,1
164,152,743,1
165,166,0,1
166,166,921,1
167,166,1127,1
168,166,300,1
169,167,527,1
170,168,460,1
171,168,1072,1
172,178,882,1
173,178,262,1
174,178,405,1
175,178,744,1
176,178,1062,1
177,178,311,1
178,178,760,1
179,178,330,1
180,178,884,1
181,178,607,1
182,178,832,1
183,178,770,1
184,178,206,1
185,178,725,1
186,178,625,1
187,178,798,1
188,178,288,1
189,178,484,1
190,179,1038,1
191,196,228,1
192,196,484,1
193,196,1177,1
194,196,384,1
195,198,404,1
196,198,600,1
197,198,1021,1
198,198,891,1
199,198,746,1
200,198,75,1
201,198,459,1
202,198,150,1
203,198,1158,1
204,198,940,1
205,198,350,1
206,198,492,1
207,198,1143,1
208,198,439,1
209,198,1200,1
210,198,53,1
211,198,306,1
212,198,1171,1
213,198,396,1
214,198,1190,1
215,198,659,1
216,198,410,1
217,198,609,1
218,198,905,1
219,198,942,1
220,198,1176,1
221,198,210,1
222,198,976,1
223,198,151,1
224,198,549,1
225,198,389,1
226,198,506,1
227,198,475,1
228,198,354,1
229,198,1035,1
230,198,687,1
231,198,34,1
232,198,1147,1
233,198,257,1
234,198,378,1
235,198,854,1
236,198,91,1
237,198,381,1
238,198,291,1
239,198,1168,1
240,198,435,1
241,198,1045,1
242,198,463,1
243,198,899,1
244,198,343,1
245,198,923,1
246,198,252,1
247,198,804,1
248,198,63,1
249,198,311,1
250,198,366,1
251,198,100,1
252,198,491,1
253,198,523,1
254,198,310,1
255,198,675,1
256,198,1166,1
257,198,546,1
258,198,775,1
259,198,906,1
260,198,927,1
261,198,1044,1
262,198,1072,1
263,198,630,1
264,198,885,1
265,198,1059,1
266,198,783,1
267,198,473,1
268,198,912,1
269,198,95,1
270,198,535,1
271,198,1101,1
272,198,438,1
273,198,1080,1
274,198,1184,1
275,198,726,1
276,198,423,1
277,198,352,1
278,198,908,1
279,198,770,1
280,198,1023,1
281,198,395,1
282,198,1106,1
283,205,474,1
284,205,683,1
285,228,483,1
286,228,1144,1
287,228,196,1
288,228,68,1
289,228,1025,1
290,228,589,1
291,228,100,1
292,228,185,1
293,228,1146,1
294,240,410,1
295,240,877,1
296,240,53,1
297,240,1041,1
298,246,69,1
299,246,57,1
300,246,857,1
301,246,898,1
302,246,801,1
303,246,641,1
304,246,944,1
305,246,823,1
306,246,161,1
307,246,40,1
308,246,233,1
309,246,703,1
310,246,1196,1
311,246,643,1
312,246,697,1
313,246,1025,1
314,246,400,1
315,246,312,1
316,246,865,1
317,246,655,1
318,246,1005,1
319,246,164,1
320,246,348,1
321,246,60,1
322,246,757,1
323,246,645,1
324,246,429,1
325,246,966,1
326,246,1054,1
327,246,975,1
328,246,780,1
329,246,300,1
330,246,483,1
331,246,75,1
332,246,87,1
333,255,831,1
334,255,415,1
335,255,1146,1
336,274,9,1
337,274,625,1
338,274,1054,1
339,274,178,1
340,277,268,1
341,277,846,1
342,277,956,1
343,277,428,1
344,277,215,1
345,277,617,1
346,277,384,1
347,277,724,1
348,277,962,1
349,277,79,1
350,277,706,1
351,277,300,1
352,277,694,1
353,277,18,1
354,277,370,1
355,277,930,1
356,294,71,1
357,300,999,1
358,306,339,1
359,312,1096,1
360,324,490,1
361,326,847,1
362,339,180,1
363,339,172,1
364,339,1142,1
365,339,527,1
366,339,306,1
367,339,184,1
368,343,827,1
369,354,548,1
370,354,1147,1
371,354,625,1
372,354,288,1
373,354,9,1
374,354,125,1
375,354,1165,1
376,354,7,1
377,354,325,1
378,354,373,1
379,354,683,1
380,354,1138,1
381,354,726,1
382,354,884,1
383,354,474,1
384,354,330,1
385,354,134,1
386,354,744,1
387,354,1142,1
388,354,405,1
389,354,871,1
390,354,678,1
391,354,552,1
392,354,628,1
393,354,350,1
394,354,398,1
395,354,1106,1
396,354,648,1
397,354,793,1
398,354,762,1
399,354,795,1
400,354,607,1
401,384,590,1
402,384,1041,1
403,384,930,1
404,384,71,1
405,384,897,1
406,384,857,1
407,384,491,1
408,384,1082,1
409,384,26,1
410,384,1095,1
411,384,312,1
412,384,3,1
413,384,439,1
414,384,846,1
415,384,40,1
416,384,500,1
417,384,62,1
418,384,822,1
419,384,59,1
420,384,1200,1
421,384,217,1
422,384,426,1
423,384,534,1
424,384,1195,1
425,384,440,1
426,384,546,1
427,384,135,1
428,384,164,1
429,384,1185,1
430,384,641,1
