,TF,Target,Label
0,46,451,1
1,46,192,1
2,46,714,1
3,64,600,1
4,64,1111,1
5,64,826,1
6,106,672,1
7,118,1097,1
8,118,857,1
9,129,306,1
10,130,922,1
11,130,452,1
12,130,179,1
13,130,237,1
14,130,972,1
15,130,244,1
16,130,77,1
17,130,109,1
18,130,481,1
19,130,762,1
20,130,426,1
21,130,766,1
22,130,1110,1
23,130,671,1
24,130,675,1
25,130,646,1
26,130,728,1
27,130,58,1
28,168,866,1
29,168,317,1
30,168,908,1
31,168,549,1
32,168,681,1
33,168,1075,1
34,168,528,1
35,168,708,1
36,168,143,1
37,168,594,1
38,168,983,1
39,168,134,1
40,168,578,1
41,168,150,1
42,168,380,1
43,168,130,1
44,168,152,1
45,168,672,1
46,168,103,1
47,168,102,1
48,168,584,1
49,168,909,1
50,168,913,1
51,168,963,1
52,171,766,1
53,171,168,1
54,171,231,1
55,171,455,1
56,171,192,1
57,171,791,1
58,171,197,1
59,171,356,1
60,176,578,1
61,176,644,1
62,176,642,1
63,176,167,1
64,176,712,1
65,176,848,1
66,176,81,1
67,176,822,1
68,176,351,1
69,176,407,1
70,176,507,1
71,176,754,1
72,176,894,1
73,176,41,1
74,176,1085,1
75,176,170,1
76,176,78,1
77,176,1051,1
78,176,684,1
79,176,1127,1
80,176,896,1
81,176,605,1
82,176,639,1
83,176,744,1
84,176,1022,1
85,176,666,1
86,176,857,1
87,176,506,1
88,176,183,1
89,176,37,1
90,176,957,1
91,176,212,1
92,176,979,1
93,176,714,1
94,176,746,1
95,176,272,1
96,179,299,1
97,184,1022,1
98,184,165,1
99,184,1060,1
100,184,463,1
101,184,578,1
102,184,712,1
103,184,274,1
104,184,896,1
105,184,822,1
106,184,1051,1
107,184,744,1
108,184,642,1
109,184,754,1
110,184,644,1
111,184,857,1
112,184,625,1
113,184,444,1
114,184,311,1
115,184,205,1
116,184,351,1
117,184,676,1
118,184,1074,1
119,184,984,1
120,184,289,1
121,184,345,1
122,184,288,1
123,184,80,1
124,184,183,1
125,184,666,1
126,184,605,1
127,184,543,1
128,184,407,1
129,184,212,1
130,184,542,1
131,184,998,1
132,184,375,1
133,192,584,1
134,192,462,1
135,192,711,1
136,192,688,1
137,192,841,1
138,192,452,1
139,192,691,1
140,192,749,1
141,192,22,1
142,192,810,1
143,192,611,1
144,192,460,1
145,192,37,1
146,192,709,1
147,192,746,1
148,192,383,1
149,192,1086,1
150,192,634,1
151,192,330,1
152,192,394,1
153,192,422,1
154,192,472,1
155,192,201,1
156,192,197,1
157,192,102,1
158,192,881,1
159,192,45,1
160,192,524,1
161,192,758,1
162,192,714,1
163,192,116,1
164,192,857,1
165,192,403,1
166,192,846,1
167,192,196,1
168,192,111,1
169,192,1013,1
170,192,290,1
171,192,203,1
172,192,712,1
173,192,1022,1
174,192,875,1
175,192,844,1
176,192,476,1
177,192,421,1
178,192,1045,1
179,192,128,1
180,192,980,1
181,192,1040,1
182,192,231,1
183,192,157,1
184,192,307,1
185,192,952,1
186,192,870,1
187,192,695,1
188,192,1064,1
189,192,181,1
190,192,876,1
191,192,1024,1
192,192,675,1
193,192,706,1
194,192,136,1
195,192,886,1
196,192,409,1
197,192,766,1
198,192,240,1
199,192,276,1
200,192,693,1
201,192,1074,1
202,192,169,1
203,192,11,1
204,192,674,1
205,192,676,1
206,192,717,1
207,192,451,1
208,200,510,1
209,200,834,1
210,203,822,1
211,209,480,1
212,209,357,1
213,209,967,1
214,209,931,1
215,209,739,1
216,209,317,1
217,244,714,1
218,246,99,1
219,246,660,1
220,246,248,1
221,246,1111,1
222,270,494,1
223,272,639,1
224,272,541,1
225,272,542,1
226,272,896,1
227,272,1073,1
228,272,507,1
229,272,936,1
230,272,676,1
231,272,984,1
232,272,746,1
233,272,857,1
234,272,1085,1
235,272,1022,1
236,272,344,1
237,272,543,1
238,272,642,1
239,272,202,1
240,272,1074,1
241,272,562,1
242,272,184,1
243,272,577,1
244,272,274,1
245,272,170,1
246,272,407,1
247,272,212,1
248,272,288,1
249,272,311,1
250,272,165,1
251,272,848,1
252,272,714,1
253,272,712,1
254,272,351,1
255,287,344,1
256,287,802,1
257,287,1013,1
258,287,243,1
259,287,513,1
260,287,854,1
261,287,627,1
262,287,138,1
263,287,685,1
264,287,464,1
265,290,517,1
266,310,984,1
267,310,407,1
268,311,274,1
269,311,205,1
270,311,1074,1
271,311,507,1
272,311,578,1
273,311,712,1
274,311,444,1
275,311,1051,1
276,311,176,1
277,311,676,1
278,311,183,1
279,311,184,1
280,311,562,1
281,311,202,1
282,311,896,1
283,311,1127,1
284,311,822,1
285,311,644,1
286,311,81,1
287,311,857,1
288,311,375,1
289,311,714,1
290,311,288,1
291,311,1060,1
292,311,639,1
293,311,744,1
294,311,187,1
295,311,78,1
296,311,684,1
297,311,936,1
298,311,167,1
299,311,212,1
300,311,407,1
301,311,1085,1
302,327,514,1
303,327,431,1
304,327,724,1
305,327,559,1
306,327,1022,1
307,327,452,1
308,327,135,1
309,327,804,1
310,327,749,1
311,327,828,1
312,327,330,1
313,327,104,1
314,327,1040,1
315,327,846,1
316,327,1083,1
317,327,427,1
318,327,186,1
319,327,230,1
320,327,290,1
321,327,870,1
322,327,1080,1
323,327,691,1
324,327,830,1
325,327,1010,1
326,327,600,1
327,327,377,1
328,327,1044,1
329,327,409,1
330,327,801,1
331,327,400,1
332,327,576,1
333,327,177,1
334,327,545,1
335,327,765,1
336,327,1064,1
337,327,1,1
338,327,87,1
339,327,810,1
340,327,936,1
341,327,389,1
342,327,55,1
343,327,111,1
344,327,1053,1
345,327,466,1
346,327,574,1
347,327,1020,1
348,327,688,1
349,327,535,1
350,327,172,1
351,327,1062,1
352,327,136,1
353,327,184,1
354,327,380,1
355,327,166,1
356,327,240,1
357,327,273,1
358,327,718,1
359,327,825,1
360,327,519,1
361,327,502,1
362,327,462,1
363,327,730,1
364,327,1116,1
365,327,1043,1
366,327,611,1
367,327,201,1
368,327,652,1
369,327,394,1
370,327,102,1
371,327,557,1
372,327,336,1
373,327,921,1
374,327,583,1
375,327,496,1
376,327,758,1
377,327,434,1
378,327,766,1
379,327,317,1
380,327,937,1
381,327,369,1
382,327,67,1
383,327,840,1
384,327,29,1
