,TF,Target,Label
0,46,422,1
1,58,380,1
2,58,281,1
3,66,422,1
4,76,468,1
5,76,366,1
6,76,207,1
7,76,222,1
8,76,541,1
9,76,536,1
10,76,171,1
11,76,51,1
12,85,439,1
13,85,50,1
14,85,180,1
15,85,367,1
16,85,348,1
17,85,146,1
18,85,156,1
19,85,248,1
20,85,268,1
21,85,483,1
22,85,399,1
23,85,458,1
24,111,407,1
25,111,525,1
26,118,525,1
27,118,542,1
28,118,42,1
29,118,422,1
30,118,107,1
31,118,93,1
32,118,396,1
33,118,526,1
34,118,376,1
35,118,367,1
36,118,352,1
37,118,468,1
38,135,302,1
39,145,68,1
40,145,116,1
41,145,60,1
42,145,422,1
43,145,216,1
44,155,223,1
45,155,509,1
46,155,358,1
47,155,6,1
48,155,419,1
49,155,60,1
50,155,271,1
51,155,276,1
52,155,312,1
53,155,340,1
54,155,63,1
55,155,409,1
56,155,307,1
57,155,481,1
58,155,343,1
59,155,257,1
60,155,236,1
61,155,498,1
62,155,123,1
63,155,160,1
64,180,379,1
65,192,379,1
66,213,116,1
67,213,216,1
68,213,257,1
69,213,190,1
70,213,145,1
71,213,96,1
72,216,60,1
73,216,116,1
74,216,213,1
75,216,554,1
76,216,506,1
77,216,96,1
78,223,267,1
79,233,416,1
80,233,422,1
81,251,492,1
82,252,42,1
83,252,53,1
84,252,445,1
85,252,302,1
86,252,531,1
87,277,6,1
88,277,335,1
89,283,118,1
90,284,335,1
91,284,320,1
92,302,357,1
93,302,56,1
94,302,180,1
95,302,426,1
96,302,286,1
97,302,42,1
98,302,361,1
99,302,252,1
100,320,28,1
101,320,29,1
102,320,551,1
103,320,160,1
104,320,284,1
105,320,497,1
106,320,25,1
107,320,406,1
108,320,361,1
109,320,554,1
110,320,379,1
111,320,233,1
112,320,309,1
113,320,223,1
114,320,236,1
115,320,39,1
116,320,257,1
117,320,451,1
118,320,510,1
119,320,509,1
120,320,41,1
121,324,334,1
122,324,515,1
123,324,536,1
124,324,518,1
125,324,320,1
126,335,284,1
127,335,277,1
128,392,286,1
129,392,302,1
130,416,39,1
131,416,523,1
132,416,192,1
133,416,58,1
134,416,0,1
135,416,67,1
136,416,550,1
137,422,530,1
138,426,339,1
139,426,26,1
140,459,518,1
141,459,525,1
142,530,498,1
143,530,233,1
144,530,379,1
145,530,137,1
146,530,397,1
147,541,76,1
148,550,367,1
149,550,531,1
150,550,459,1
151,550,515,1
152,46,485,0
153,58,253,0
154,58,173,0
155,66,397,0
156,76,339,0
157,76,33,0
158,76,249,0
159,76,321,0
160,76,412,0
161,76,420,0
162,76,524,0
163,76,438,0
164,85,347,0
165,85,83,0
166,85,479,0
167,85,503,0
168,85,26,0
169,85,486,0
170,85,124,0
171,85,349,0
172,85,418,0
173,85,365,0
174,85,212,0
175,85,357,0
176,111,172,0
177,111,203,0
178,118,113,0
179,118,400,0
180,118,24,0
181,118,30,0
182,118,125,0
183,118,312,0
184,118,402,0
185,118,0,0
186,118,498,0
187,118,276,0
188,118,527,0
189,118,311,0
190,135,58,0
191,145,411,0
192,145,138,0
193,145,19,0
194,145,120,0
195,145,398,0
196,155,111,0
197,155,308,0
198,155,182,0
199,155,447,0
200,155,500,0
201,155,422,0
202,155,221,0
203,155,69,0
204,155,471,0
205,155,275,0
206,155,541,0
207,155,73,0
208,155,382,0
209,155,517,0
210,155,479,0
211,155,403,0
212,155,124,0
213,155,196,0
214,155,504,0
215,155,229,0
216,180,555,0
217,192,350,0
218,213,516,0
219,213,338,0
220,213,198,0
221,213,153,0
222,213,117,0
223,213,542,0
224,216,211,0
225,216,437,0
226,216,388,0
227,216,302,0
228,216,268,0
229,216,187,0
230,223,341,0
231,233,485,0
232,233,270,0
233,251,436,0
234,252,238,0
235,252,39,0
236,252,440,0
237,252,95,0
238,252,23,0
239,277,221,0
240,277,184,0
241,283,454,0
242,284,67,0
243,284,149,0
244,302,511,0
245,302,478,0
246,302,427,0
247,302,467,0
248,302,117,0
249,302,414,0
250,302,187,0
251,302,464,0
252,320,170,0
253,320,210,0
254,320,111,0
255,320,3,0
256,320,268,0
257,320,353,0
258,320,106,0
259,320,457,0
260,320,52,0
261,320,157,0
262,320,153,0
263,320,326,0
264,320,203,0
265,320,174,0
266,320,64,0
267,320,80,0
268,320,220,0
269,320,507,0
270,320,17,0
271,320,425,0
272,320,117,0
273,324,551,0
274,324,381,0
275,324,289,0
276,324,505,0
277,324,440,0
278,335,138,0
279,335,408,0
280,392,549,0
281,392,177,0
282,416,432,0
283,416,313,0
284,416,84,0
285,416,364,0
286,416,314,0
287,416,95,0
288,416,348,0
289,422,414,0
290,426,340,0
291,426,545,0
292,459,230,0
293,459,171,0
294,530,346,0
295,530,122,0
296,530,204,0
297,530,125,0
298,530,253,0
299,541,240,0
300,550,228,0
301,550,401,0
302,550,128,0
303,550,299,0
