,TF,Target,Label
0,0,885,1
1,0,674,1
2,0,760,1
3,7,465,1
4,13,842,1
5,13,658,1
6,13,298,1
7,13,453,1
8,13,641,1
9,13,534,1
10,13,236,1
11,13,369,1
12,24,31,1
13,24,717,1
14,24,857,1
15,24,128,1
16,25,460,1
17,25,885,1
18,25,86,1
19,25,126,1
20,25,154,1
21,25,574,1
22,25,220,1
23,29,116,1
24,29,170,1
25,30,304,1
26,30,119,1
27,30,233,1
28,30,602,1
29,30,824,1
30,30,355,1
31,30,715,1
32,30,793,1
33,30,885,1
34,30,853,1
35,30,40,1
36,30,761,1
37,30,80,1
38,30,725,1
39,30,899,1
40,30,677,1
41,30,53,1
42,30,759,1
43,30,254,1
44,30,658,1
45,31,198,1
46,31,341,1
47,31,149,1
48,31,645,1
49,31,268,1
50,31,70,1
51,31,562,1
52,31,187,1
53,31,355,1
54,31,850,1
55,31,492,1
56,31,10,1
57,32,847,1
58,32,16,1
59,34,792,1
60,35,889,1
61,35,695,1
62,35,901,1
63,35,751,1
64,35,562,1
65,35,678,1
66,35,607,1
67,35,87,1
68,35,273,1
69,35,871,1
70,35,655,1
71,35,364,1
72,35,472,1
73,35,623,1
74,35,674,1
75,35,682,1
76,35,2,1
77,35,10,1
78,35,518,1
79,35,546,1
80,40,254,1
81,40,145,1
82,40,223,1
83,40,658,1
84,40,30,1
85,45,571,1
86,45,450,1
87,45,283,1
88,45,372,1
89,45,239,1
90,45,848,1
91,46,849,1
92,46,461,1
93,50,492,1
94,50,275,1
95,50,10,1
96,50,562,1
97,52,336,1
98,52,809,1
99,52,752,1
100,52,667,1
101,52,286,1
102,52,321,1
103,52,351,1
104,52,252,1
105,52,624,1
106,52,302,1
107,52,201,1
108,52,199,1
109,52,311,1
110,52,642,1
111,52,844,1
112,54,674,1
113,54,695,1
114,54,613,1
115,54,655,1
116,54,546,1
117,54,682,1
118,54,384,1
119,54,562,1
120,54,345,1
121,54,198,1
122,54,889,1
123,54,305,1
124,54,87,1
125,54,351,1
126,54,492,1
127,54,35,1
128,54,607,1
129,55,195,1
130,55,906,1
131,62,667,1
132,62,169,1
133,62,427,1
134,62,239,1
135,63,411,1
136,63,780,1
137,63,687,1
138,63,211,1
139,74,103,1
140,74,809,1
141,74,116,1
142,74,752,1
143,74,241,1
144,74,52,1
145,74,239,1
146,74,201,1
147,74,578,1
148,74,282,1
149,75,259,1
150,75,638,1
151,75,250,1
152,75,40,1
153,77,839,1
154,80,856,1
155,80,629,1
156,80,642,1
157,80,30,1
158,80,282,1
159,81,815,1
160,82,43,1
161,82,855,1
162,82,344,1
163,82,397,1
164,82,214,1
165,82,853,1
166,82,671,1
167,82,281,1
168,82,316,1
169,82,714,1
170,83,63,1
171,83,468,1
172,85,622,1
173,85,558,1
174,89,187,1
175,93,281,1
176,93,885,1
177,94,366,1
178,98,752,1
179,98,201,1
180,103,752,1
181,103,282,1
182,103,578,1
183,103,116,1
184,103,204,1
185,103,809,1
186,103,621,1
187,103,838,1
188,105,725,1
189,116,302,1
190,116,383,1
191,116,282,1
192,116,170,1
193,116,29,1
194,116,201,1
195,116,578,1
196,116,190,1
197,117,792,1
198,119,765,1
199,119,803,1
200,119,787,1
201,119,693,1
202,120,158,1
203,124,658,1
204,124,200,1
205,124,233,1
206,124,681,1
207,124,909,1
208,126,760,1
209,128,163,1
210,128,732,1
211,128,885,1
212,128,24,1
213,133,278,1
214,133,571,1
215,139,885,1
216,140,453,1
217,140,198,1
218,140,701,1
219,140,464,1
220,140,792,1
221,140,163,1
222,140,584,1
223,145,737,1
224,145,40,1
225,146,898,1
226,151,242,1
227,151,732,1
228,152,471,1
229,152,286,1
230,152,450,1
231,152,650,1
232,152,62,1
233,152,803,1
234,152,570,1
235,152,421,1
236,152,427,1
237,152,335,1
238,152,360,1
239,152,568,1
240,152,646,1
241,152,572,1
242,152,52,1
243,152,211,1
244,152,736,1
245,152,411,1
246,152,687,1
247,152,282,1
248,152,302,1
249,152,239,1
250,152,74,1
251,152,468,1
252,152,709,1
253,152,571,1
254,152,270,1
255,152,838,1
256,152,252,1
257,152,459,1
258,152,219,1
259,152,677,1
260,152,531,1
261,152,540,1
262,152,898,1
263,158,428,1
264,158,377,1
265,158,462,1
266,158,722,1
267,158,109,1
268,158,280,1
269,158,279,1
270,162,667,1
271,162,383,1
272,162,195,1
273,162,295,1
274,162,427,1
275,162,568,1
276,162,670,1
277,163,891,1
278,163,704,1
279,163,584,1
280,163,595,1
281,163,128,1
282,163,659,1
283,163,464,1
