,TF,Target,Label
0,0,310,1
1,1,639,1
2,1,329,1
3,1,593,1
4,1,819,1
5,1,575,1
6,1,790,1
7,1,442,1
8,1,823,1
9,1,406,1
10,1,620,1
11,1,482,1
12,1,549,1
13,1,424,1
14,1,451,1
15,1,265,1
16,1,606,1
17,2,320,1
18,4,728,1
19,4,481,1
20,4,556,1
21,4,300,1
22,4,296,1
23,4,441,1
24,4,750,1
25,4,446,1
26,4,370,1
27,4,105,1
28,4,745,1
29,4,24,1
30,4,669,1
31,4,242,1
32,4,946,1
33,4,662,1
34,4,769,1
35,4,128,1
36,4,186,1
37,4,41,1
38,4,736,1
39,5,470,1
40,14,672,1
41,14,249,1
42,14,195,1
43,14,591,1
44,14,161,1
45,14,176,1
46,14,87,1
47,14,409,1
48,14,534,1
49,14,75,1
50,15,644,1
51,15,280,1
52,15,600,1
53,15,858,1
54,15,916,1
55,15,623,1
56,15,161,1
57,15,249,1
58,20,379,1
59,20,550,1
60,22,54,1
61,22,694,1
62,22,317,1
63,22,534,1
64,22,40,1
65,22,813,1
66,22,86,1
67,22,470,1
68,22,575,1
69,22,939,1
70,22,892,1
71,22,131,1
72,24,64,1
73,24,137,1
74,24,300,1
75,24,186,1
76,24,515,1
77,24,382,1
78,24,662,1
79,24,358,1
80,24,4,1
81,24,94,1
82,24,387,1
83,24,496,1
84,24,728,1
85,24,370,1
86,24,523,1
87,24,669,1
88,24,481,1
89,24,220,1
90,24,242,1
91,24,756,1
92,24,41,1
93,26,858,1
94,26,29,1
95,26,39,1
96,26,673,1
97,26,709,1
98,26,368,1
99,26,819,1
100,26,706,1
101,26,804,1
102,26,600,1
103,26,892,1
104,26,616,1
105,28,456,1
106,28,139,1
107,28,785,1
108,28,905,1
109,28,435,1
110,36,114,1
111,36,292,1
112,37,275,1
113,37,139,1
114,38,501,1
115,38,421,1
116,38,30,1
117,38,40,1
118,38,736,1
119,38,786,1
120,38,233,1
121,38,367,1
122,38,319,1
123,38,441,1
124,38,222,1
125,38,573,1
126,38,213,1
127,38,64,1
128,38,41,1
129,38,307,1
130,38,226,1
131,38,635,1
132,38,662,1
133,38,864,1
134,39,87,1
135,39,139,1
136,39,534,1
137,39,44,1
138,39,631,1
139,39,161,1
140,39,815,1
141,39,736,1
142,39,85,1
143,39,546,1
144,39,328,1
145,39,522,1
146,39,89,1
147,39,673,1
148,39,924,1
149,39,856,1
150,39,249,1
151,39,819,1
152,39,470,1
153,39,935,1
154,39,205,1
155,40,64,1
156,40,96,1
157,40,22,1
158,40,233,1
159,40,38,1
160,40,184,1
161,40,386,1
162,40,426,1
163,40,493,1
164,40,378,1
165,40,365,1
166,40,827,1
167,40,676,1
168,40,156,1
169,40,687,1
170,40,575,1
171,40,222,1
172,40,342,1
173,40,307,1
174,41,681,1
175,41,456,1
176,41,128,1
177,41,538,1
178,41,276,1
179,41,786,1
180,41,57,1
181,41,441,1
182,41,220,1
183,41,300,1
184,41,121,1
185,41,749,1
186,41,476,1
187,41,195,1
188,41,242,1
189,41,387,1
190,41,67,1
191,41,728,1
192,41,414,1
193,41,216,1
194,41,226,1
195,41,687,1
196,41,902,1
197,41,642,1
198,41,117,1
199,41,375,1
200,41,610,1
201,41,864,1
202,41,482,1
203,41,854,1
204,41,700,1
205,41,850,1
206,41,85,1
207,41,499,1
208,41,500,1
209,41,831,1
210,41,211,1
211,41,788,1
212,41,936,1
213,41,641,1
214,41,475,1
215,41,575,1
216,41,736,1
217,41,250,1
218,41,198,1
219,41,222,1
220,41,363,1
221,41,515,1
222,41,186,1
223,41,307,1
224,41,901,1
225,41,546,1
226,41,815,1
227,41,750,1
228,41,386,1
229,43,212,1
230,43,188,1
231,43,625,1
232,43,876,1
233,43,18,1
234,43,911,1
235,43,783,1
236,43,539,1
237,43,506,1
238,43,739,1
239,43,245,1
240,43,833,1
241,43,919,1
242,43,908,1
243,43,247,1
244,43,493,1
245,43,134,1
246,43,784,1
247,43,512,1
248,43,265,1
249,43,650,1
250,43,332,1
251,43,72,1
252,43,575,1
253,43,736,1
254,43,559,1
255,43,424,1
