,TF,Target,Label
0,0,996,1
1,0,11,1
2,0,1127,1
3,0,1276,1
4,0,1221,1
5,0,1118,1
6,0,1055,1
7,0,732,1
8,2,1168,1
9,2,148,1
10,2,324,1
11,2,233,1
12,2,62,1
13,2,16,1
14,2,1055,1
15,2,413,1
16,2,481,1
17,2,878,1
18,2,945,1
19,2,579,1
20,2,1263,1
21,2,560,1
22,2,965,1
23,2,531,1
24,2,944,1
25,2,625,1
26,2,907,1
27,2,4,1
28,2,1020,1
29,2,1283,1
30,2,469,1
31,2,850,1
32,2,585,1
33,2,141,1
34,2,935,1
35,2,570,1
36,2,81,1
37,2,114,1
38,2,418,1
39,2,906,1
40,2,1046,1
41,2,229,1
42,2,25,1
43,2,578,1
44,8,298,1
45,8,114,1
46,8,748,1
47,8,802,1
48,8,882,1
49,8,608,1
50,8,347,1
51,8,531,1
52,8,92,1
53,8,233,1
54,8,489,1
55,8,336,1
56,8,1085,1
57,8,1088,1
58,8,607,1
59,8,81,1
60,8,332,1
61,8,328,1
62,8,950,1
63,8,1312,1
64,8,716,1
65,8,450,1
66,8,1083,1
67,8,229,1
68,8,1204,1
69,8,935,1
70,8,189,1
71,8,827,1
72,8,908,1
73,8,809,1
74,8,736,1
75,8,1263,1
76,8,319,1
77,8,200,1
78,11,386,1
79,11,1221,1
80,11,192,1
81,11,1057,1
82,11,996,1
83,11,732,1
84,11,589,1
85,11,187,1
86,14,1298,1
87,14,1019,1
88,14,1135,1
89,14,1057,1
90,14,380,1
91,14,591,1
92,14,1181,1
93,14,1036,1
94,14,787,1
95,14,31,1
96,14,0,1
97,14,89,1
98,14,418,1
99,14,938,1
100,14,287,1
101,14,699,1
102,14,736,1
103,14,961,1
104,14,413,1
105,14,1138,1
106,14,789,1
107,14,40,1
108,14,1031,1
109,14,968,1
110,14,424,1
111,14,311,1
112,14,506,1
113,14,936,1
114,14,728,1
115,14,1238,1
116,14,907,1
117,14,848,1
118,14,681,1
119,14,26,1
120,14,551,1
121,14,187,1
122,14,1167,1
123,14,83,1
124,14,1026,1
125,14,986,1
126,14,213,1
127,14,996,1
128,14,66,1
129,14,724,1
130,14,556,1
131,14,1133,1
132,14,1098,1
133,14,20,1
134,14,81,1
135,14,952,1
136,14,857,1
137,14,47,1
138,14,921,1
139,14,207,1
140,14,650,1
141,14,732,1
142,14,658,1
143,14,663,1
144,14,196,1
145,14,1106,1
146,14,1277,1
147,14,856,1
148,14,951,1
149,14,940,1
150,14,842,1
151,14,1127,1
152,14,25,1
153,14,1216,1
154,15,1311,1
155,15,809,1
156,15,447,1
157,15,1041,1
158,15,578,1
159,15,576,1
160,15,83,1
161,15,1244,1
162,15,191,1
163,15,1305,1
164,15,251,1
165,15,705,1
166,15,1040,1
167,15,921,1
168,16,418,1
169,16,413,1
170,16,907,1
171,16,533,1
172,16,356,1
173,16,605,1
174,16,25,1
175,16,180,1
176,16,795,1
177,20,220,1
178,20,251,1
179,20,809,1
180,20,921,1
181,20,1181,1
182,20,316,1
183,20,915,1
184,20,14,1
185,21,605,1
186,21,781,1
187,21,907,1
188,21,413,1
189,21,533,1
190,21,952,1
191,21,878,1
192,21,25,1
193,21,2,1
194,23,1164,1
195,23,654,1
196,25,837,1
197,25,578,1
198,25,83,1
199,25,848,1
200,25,442,1
201,25,1314,1
202,25,2,1
203,25,551,1
204,25,1055,1
205,25,919,1
206,25,1089,1
207,25,1277,1
208,25,907,1
209,25,14,1
210,25,921,1
211,25,1106,1
212,25,356,1
213,25,159,1
214,25,899,1
215,25,74,1
216,25,804,1
217,25,1008,1
218,25,1019,1
219,25,1244,1
220,25,1311,1
221,25,1135,1
222,25,1138,1
223,25,1301,1
224,25,238,1
225,25,418,1
226,25,952,1
227,25,142,1
228,25,716,1
229,25,196,1
230,25,605,1
231,25,533,1
232,25,681,1
233,25,16,1
234,25,263,1
235,25,1275,1
236,25,1015,1
237,25,339,1
238,25,455,1
239,25,650,1
240,25,885,1
241,25,1283,1
242,25,1238,1
243,31,251,1
244,31,921,1
245,32,736,1
246,32,882,1
247,32,489,1
248,32,813,1
249,32,809,1
250,32,173,1
251,32,713,1
252,33,971,1
253,33,1230,1
254,33,857,1
255,33,142,1
256,33,1164,1
257,36,867,1
258,40,455,1
259,40,14,1
260,40,187,1
261,40,1118,1
262,40,1127,1
263,48,597,1
264,48,1164,1
265,48,689,1
266,48,1102,1
267,48,463,1
268,68,736,1
269,68,921,1
270,68,316,1
271,68,506,1
272,70,719,1
273,70,1252,1
274,74,907,1
275,74,1176,1
276,74,919,1
277,74,837,1
278,74,533,1
279,74,781,1
280,74,339,1
281,74,159,1
282,74,418,1
283,74,663,1
284,74,605,1
285,74,679,1
286,74,885,1
287,74,161,1
288,74,795,1
289,82,512,1
290,82,414,1
291,82,189,1
292,83,996,1
293,83,568,1
294,83,1120,1
295,83,324,1
296,83,705,1
297,83,605,1
298,83,25,1
299,83,506,1
300,83,809,1
301,83,1030,1
302,83,469,1
303,83,1064,1
304,83,413,1
305,83,915,1
306,83,126,1
307,83,533,1
308,83,475,1
309,83,1040,1
310,83,1314,1
311,83,355,1
312,83,148,1
313,83,921,1
314,83,878,1
315,83,251,1
316,83,356,1
317,83,220,1
318,83,774,1
319,83,907,1
320,83,1305,1
321,89,440,1
322,89,25,1
323,89,551,1
324,89,1019,1
325,89,663,1
326,89,650,1
327,89,952,1
328,89,14,1
329,89,996,1
330,89,1089,1
331,89,418,1
332,89,1301,1
333,89,413,1
334,89,187,1
335,89,851,1
336,89,1068,1
337,89,1118,1
338,89,148,1
339,89,899,1
340,89,1167,1
341,89,1277,1
342,89,196,1
343,89,1238,1
344,91,810,1
345,91,1283,1
346,91,4,1
347,91,809,1
348,91,527,1
349,91,736,1
350,91,486,1
351,91,544,1
352,91,428,1
353,91,291,1
354,91,437,1
355,91,919,1
356,102,509,1
357,102,1039,1
358,104,1045,1
359,109,809,1
360,109,1236,1
361,109,477,1
362,139,897,1
363,139,463,1
364,139,568,1
365,139,1314,1
366,139,857,1
367,139,142,1
368,139,801,1
369,139,144,1
370,139,816,1
371,142,126,1
372,142,1288,1
373,142,544,1
374,142,801,1
375,142,418,1
376,142,704,1
377,142,993,1
378,142,340,1
379,142,781,1
380,142,736,1
381,142,1019,1
382,142,857,1
383,142,1083,1
384,142,578,1
385,142,173,1
386,142,802,1
387,142,816,1
388,142,139,1
389,142,533,1
390,142,897,1
391,142,568,1
392,142,1151,1
393,142,809,1
394,142,291,1
395,142,1233,1
396,142,1275,1
397,142,413,1
398,142,919,1
399,142,713,1
400,142,268,1
401,142,442,1
402,144,1102,1
403,144,99,1
404,144,597,1
405,144,728,1
406,144,668,1
407,144,760,1
408,148,1127,1
409,148,681,1
410,148,605,1
411,148,629,1
412,148,263,1
413,148,907,1
414,148,1214,1
415,148,418,1
416,148,1295,1
417,148,1118,1
418,148,1019,1
419,148,692,1
420,148,390,1
421,148,196,1
422,148,159,1
423,148,848,1
424,148,74,1
425,148,1138,1
426,148,705,1
427,148,14,1
428,148,795,1
429,148,996,1
430,148,83,1
431,148,455,1
432,148,481,1
433,148,1284,1
434,148,16,1
435,148,551,1
436,148,180,1
437,148,878,1
438,148,126,1
439,148,1089,1
440,148,1244,1
441,148,1301,1
442,148,413,1
443,148,205,1
