,TF,Target,Label
0,2,835,1
1,2,1065,1
2,2,163,1
3,2,887,1
4,2,743,1
5,2,775,1
6,2,519,1
7,2,328,1
8,2,976,1
9,2,867,1
10,2,928,1
11,2,369,1
12,2,640,1
13,2,834,1
14,2,319,1
15,2,411,1
16,2,392,1
17,2,40,1
18,4,141,1
19,4,103,1
20,4,446,1
21,4,867,1
22,4,218,1
23,4,415,1
24,4,1064,1
25,4,453,1
26,4,989,1
27,4,185,1
28,4,118,1
29,4,967,1
30,4,501,1
31,4,1065,1
32,4,948,1
33,4,1043,1
34,4,764,1
35,4,286,1
36,4,288,1
37,4,589,1
38,4,221,1
39,4,1032,1
40,4,165,1
41,4,1026,1
42,4,409,1
43,4,171,1
44,4,258,1
45,4,24,1
46,4,435,1
47,4,495,1
48,4,460,1
49,4,929,1
50,4,700,1
51,4,34,1
52,4,21,1
53,4,328,1
54,6,860,1
55,6,562,1
56,7,837,1
57,7,31,1
58,7,772,1
59,7,994,1
60,7,575,1
61,7,85,1
62,7,987,1
63,7,407,1
64,7,980,1
65,7,185,1
66,7,589,1
67,7,425,1
68,8,160,1
69,8,116,1
70,8,908,1
71,8,324,1
72,8,445,1
73,8,912,1
74,8,919,1
75,10,649,1
76,10,987,1
77,10,1099,1
78,10,85,1
79,10,846,1
80,10,961,1
81,10,867,1
82,10,509,1
83,10,83,1
84,10,1117,1
85,10,842,1
86,10,125,1
87,10,468,1
88,11,300,1
89,11,97,1
90,14,724,1
91,15,1023,1
92,21,737,1
93,21,196,1
94,21,118,1
95,21,951,1
96,21,225,1
97,21,74,1
98,21,443,1
99,21,559,1
100,21,1008,1
101,21,996,1
102,21,976,1
103,21,555,1
104,21,104,1
105,21,998,1
106,21,515,1
107,21,4,1
108,21,685,1
109,21,242,1
110,21,1022,1
111,21,754,1
112,21,645,1
113,21,917,1
114,21,653,1
115,21,929,1
116,21,269,1
117,21,648,1
118,21,921,1
119,21,948,1
120,21,736,1
121,21,1115,1
122,21,598,1
123,21,759,1
124,21,660,1
125,21,174,1
126,21,1032,1
127,21,293,1
128,21,628,1
129,21,764,1
130,21,906,1
131,21,79,1
132,21,329,1
133,21,543,1
134,21,1061,1
135,21,475,1
136,21,1058,1
137,21,1064,1
138,21,48,1
139,24,260,1
140,24,944,1
141,24,700,1
142,24,242,1
143,24,685,1
144,24,189,1
145,24,648,1
146,24,292,1
147,24,595,1
148,24,660,1
149,24,245,1
150,24,941,1
151,24,4,1
152,24,370,1
153,24,95,1
154,24,1061,1
155,24,1023,1
156,24,887,1
157,24,884,1
158,24,1072,1
159,24,279,1
160,24,1058,1
161,24,97,1
162,24,867,1
163,31,589,1
164,31,987,1
165,31,217,1
166,31,7,1
167,31,823,1
168,31,772,1
169,31,980,1
170,31,185,1
171,31,528,1
172,31,920,1
173,31,1042,1
174,31,407,1
175,34,460,1
176,34,536,1
177,34,889,1
178,34,598,1
179,34,917,1
180,34,772,1
181,34,648,1
182,34,221,1
183,34,118,1
184,34,611,1
185,34,901,1
186,34,1008,1
187,34,567,1
188,34,645,1
189,34,976,1
190,34,24,1
191,34,1058,1
192,34,212,1
193,34,998,1
194,34,660,1
195,34,996,1
196,34,484,1
197,34,1119,1
198,34,435,1
199,34,79,1
200,34,595,1
201,34,189,1
202,34,1072,1
203,34,1061,1
204,34,280,1
205,34,929,1
206,34,655,1
207,34,906,1
208,34,851,1
209,34,247,1
210,34,409,1
211,34,185,1
212,34,245,1
213,34,589,1
214,34,1041,1
215,34,495,1
216,34,653,1
217,34,961,1
218,34,664,1
219,40,1065,1
220,40,2,1
221,40,831,1
222,42,171,1
223,43,961,1
224,43,987,1
225,43,185,1
226,43,495,1
227,44,446,1
228,48,1002,1
229,48,1033,1
230,48,364,1
231,48,655,1
232,48,995,1
233,48,319,1
234,48,846,1
235,48,648,1
236,50,966,1
237,50,99,1
238,54,1041,1
239,54,17,1
240,54,245,1
241,54,157,1
242,54,1065,1
243,54,867,1
244,54,1032,1
245,54,21,1
246,55,426,1
247,55,314,1
248,55,79,1
249,55,1117,1
250,55,536,1
251,55,1040,1
252,55,983,1
253,55,655,1
254,55,477,1
255,55,869,1
256,55,919,1
257,55,107,1
258,55,448,1
259,56,1065,1
260,56,575,1
261,63,81,1
262,63,1057,1
263,63,238,1
264,63,1067,1
265,63,935,1
266,63,458,1
267,65,588,1
268,65,1103,1
269,65,812,1
270,65,1081,1
271,65,766,1
272,68,1083,1
273,68,136,1
274,68,1026,1
275,68,4,1
276,70,230,1
277,71,2,1
278,71,86,1
279,71,428,1
280,71,389,1
281,71,519,1
282,71,1107,1
283,71,633,1
284,72,444,1
285,72,296,1
286,75,816,1
287,76,559,1
288,76,551,1
289,77,844,1
290,77,609,1
291,77,867,1
292,77,487,1
293,77,874,1
294,77,383,1
295,77,673,1
296,77,548,1
297,77,296,1
298,77,806,1
299,77,153,1
300,77,1097,1
301,79,808,1
302,79,833,1
303,79,745,1
304,79,956,1
305,79,390,1
306,79,548,1
307,79,2,1
308,79,1073,1
309,79,460,1
310,79,406,1
311,79,443,1
312,79,1000,1
313,79,462,1
314,79,979,1
315,79,1072,1
316,79,1060,1
317,79,737,1
318,79,401,1
319,79,174,1
320,79,501,1
321,79,418,1
322,79,1055,1
323,79,912,1
324,79,407,1
325,79,1077,1
326,79,575,1
327,79,640,1
328,79,1043,1
329,79,558,1
330,79,389,1
331,79,4,1
332,79,89,1
333,79,715,1
334,79,837,1
335,79,1112,1
336,79,55,1
337,79,31,1
338,79,823,1
339,79,985,1
340,79,773,1
341,79,633,1
342,79,871,1
343,79,1095,1
344,79,571,1
345,79,425,1
346,79,495,1
347,79,761,1
348,79,7,1
349,81,63,1
350,81,99,1
351,81,754,1
352,81,1066,1
353,81,269,1
354,81,238,1
355,81,582,1
356,81,999,1
357,81,1067,1
358,83,500,1
359,83,393,1
360,83,649,1
361,83,848,1
362,83,468,1
363,83,334,1
364,83,418,1
365,83,426,1
366,83,1117,1
367,83,125,1
368,83,448,1
369,83,346,1
370,83,536,1
371,83,477,1
372,83,509,1
373,83,733,1
374,83,495,1
375,83,532,1
376,83,185,1
377,85,468,1
378,85,31,1
379,85,745,1
380,85,83,1
381,85,1117,1
382,85,842,1
383,85,407,1
384,85,589,1
385,85,1042,1
386,85,346,1
387,85,980,1
388,85,629,1
389,85,575,1
390,85,961,1
391,85,823,1
392,85,772,1
393,86,873,1
394,86,389,1
395,86,428,1
396,86,633,1
397,86,857,1
398,89,443,1
399,89,737,1
400,89,755,1
401,89,4,1
402,89,141,1
403,89,174,1
404,89,996,1
405,89,79,1
406,91,576,1
407,91,787,1
408,91,416,1
409,91,691,1
410,94,314,1
411,94,107,1
412,94,55,1
413,94,846,1
414,94,655,1
415,94,983,1
416,94,869,1
417,95,490,1
418,95,676,1
419,95,616,1
420,95,24,1
421,95,269,1
422,95,763,1
423,95,532,1
424,95,1097,1
425,95,680,1
426,95,287,1
427,95,865,1
428,95,1018,1
429,95,754,1
430,95,867,1
431,95,895,1
432,97,466,1
433,97,241,1
434,97,742,1
435,97,944,1
436,97,11,1
437,97,867,1
438,99,866,1
439,99,269,1
440,99,1069,1
441,99,999,1
442,99,1065,1
443,99,81,1
444,99,529,1
445,99,648,1
446,99,27,1
447,99,882,1
448,99,140,1
449,99,754,1
450,99,1033,1
451,100,887,1
452,100,423,1
453,100,502,1
454,100,661,1
455,103,415,1
456,103,495,1
457,103,961,1
458,103,648,1
459,103,611,1
460,103,185,1
461,103,258,1
462,103,589,1
463,103,4,1
464,104,21,1
465,104,843,1
466,105,460,1
467,105,350,1
468,105,501,1
469,105,480,1
470,105,185,1
471,105,160,1
472,105,1099,1
473,105,961,1
474,107,846,1
475,107,869,1
476,107,55,1
477,107,983,1
478,107,314,1
479,107,393,1
480,108,816,1
481,110,1002,1
482,111,79,1
483,111,174,1
484,111,812,1
485,111,429,1
486,111,437,1
487,116,362,1
488,116,976,1
489,116,1072,1
490,116,1055,1
491,116,204,1
492,116,445,1
493,116,185,1
494,116,648,1
495,116,919,1
496,116,527,1
497,117,1106,1
498,117,812,1
499,118,1032,1
500,118,824,1
501,118,459,1
502,118,236,1
503,118,865,1
504,118,765,1
505,118,247,1
506,118,595,1
507,118,185,1
508,118,221,1
509,118,411,1
510,118,640,1
511,118,34,1
512,118,286,1
513,118,917,1
514,118,1022,1
515,118,369,1
516,118,851,1
517,118,364,1
518,118,280,1
519,118,435,1
520,118,989,1
521,118,782,1
522,118,996,1
523,118,177,1
524,119,247,1
525,119,765,1
526,119,640,1
527,123,329,1
528,123,966,1
529,123,729,1
530,123,475,1
531,125,733,1
532,125,362,1
533,125,611,1
534,125,445,1
535,125,589,1
536,125,426,1
537,125,1111,1
538,125,10,1
539,125,676,1
540,125,1055,1
541,125,961,1
542,125,648,1
543,125,1061,1
544,125,460,1
545,125,532,1
546,125,980,1
547,125,664,1
548,125,922,1
549,136,1026,1
550,136,453,1
551,136,659,1
552,136,68,1
553,136,170,1
554,141,917,1
555,141,727,1
556,141,1041,1
557,141,1003,1
558,141,174,1
559,141,624,1
560,141,996,1
561,141,89,1
562,144,722,1
563,145,148,1
564,145,358,1
565,145,1031,1
566,147,450,1
567,148,1079,1
568,148,727,1
569,148,249,1
570,148,533,1
571,148,1065,1
572,149,379,1
573,149,676,1
574,149,1065,1
575,149,499,1
576,149,951,1
577,149,207,1
578,160,480,1
579,160,445,1
580,160,355,1
581,160,611,1
582,160,501,1
583,160,987,1
584,160,181,1
585,160,460,1
586,160,105,1
587,163,292,1
588,163,976,1
589,163,167,1
590,163,640,1
591,163,177,1
592,163,817,1
593,167,976,1
594,167,567,1
595,167,817,1
596,167,34,1
597,167,595,1
598,167,369,1
599,167,777,1
600,167,177,1
601,167,1032,1
602,167,459,1
603,167,456,1
604,167,411,1
605,167,1066,1
606,167,654,1
607,167,292,1
608,168,963,1
609,170,551,1
610,170,423,1
611,170,68,1
612,170,136,1
613,170,940,1
614,171,764,1
615,171,4,1
616,171,221,1
617,171,976,1
618,171,446,1
619,171,598,1
620,171,495,1
621,171,611,1
622,171,1032,1
623,171,42,1
624,171,961,1
625,171,648,1
626,171,364,1
627,171,185,1
628,171,501,1
629,171,589,1
630,172,1113,1
631,172,402,1
632,172,214,1
633,172,1079,1
634,173,982,1
635,174,89,1
636,174,624,1
637,174,917,1
638,174,682,1
639,174,79,1
640,174,1072,1
641,174,727,1
642,174,755,1
643,174,111,1
644,175,857,1
645,175,533,1
646,175,1101,1
647,175,605,1
648,176,308,1
649,177,595,1
650,177,167,1
651,177,34,1
652,177,459,1
653,177,640,1
654,177,817,1
655,177,411,1
656,177,989,1
657,177,369,1
658,177,567,1
659,177,1003,1
660,178,1064,1
661,178,279,1
662,179,648,1
663,179,1022,1
664,179,1043,1
665,179,280,1
666,179,415,1
667,181,961,1
668,181,160,1
669,181,460,1
670,181,362,1
671,181,501,1
672,182,426,1
673,182,616,1
674,182,21,1
675,182,269,1
676,182,1032,1
677,182,727,1
678,182,754,1
679,185,10,1
680,185,425,1
681,185,292,1
682,185,328,1
683,185,355,1
684,185,842,1
685,185,415,1
686,185,160,1
687,185,922,1
688,185,1055,1
689,185,346,1
690,185,116,1
691,185,733,1
692,185,823,1
693,185,105,1
694,185,217,1
695,185,532,1
696,185,772,1
697,185,125,1
698,185,745,1
699,185,460,1
700,185,212,1
701,185,611,1
702,185,1042,1
703,185,350,1
704,185,1099,1
705,185,288,1
706,185,500,1
707,185,1032,1
708,185,680,1
709,185,528,1
710,185,816,1
711,185,1117,1
712,185,1072,1
713,185,118,1
714,185,1061,1
715,185,629,1
716,185,7,1
717,185,837,1
718,185,286,1
719,185,31,1
720,185,4,1
721,185,446,1
722,185,1111,1
723,189,34,1
724,189,1022,1
725,189,645,1
726,189,628,1
727,189,242,1
728,189,196,1
729,189,1064,1
730,189,906,1
731,189,944,1
732,189,245,1
733,189,1032,1
734,189,764,1
735,192,68,1
736,192,1022,1
737,192,1083,1
738,192,170,1
