,TF,Target,Label
0,4,377,1
1,4,829,1
2,4,1153,1
3,4,1058,1
4,17,1142,1
5,17,215,1
6,17,410,1
7,17,59,1
8,17,467,1
9,17,471,1
10,17,180,1
11,17,806,1
12,17,430,1
13,17,932,1
14,17,971,1
15,17,1037,1
16,17,849,1
17,17,918,1
18,17,671,1
19,17,747,1
20,17,416,1
21,17,381,1
22,23,1070,1
23,23,1176,1
24,23,995,1
25,27,1118,1
26,27,932,1
27,27,929,1
28,27,582,1
29,30,466,1
30,30,1144,1
31,30,732,1
32,30,313,1
33,30,315,1
34,30,608,1
35,30,66,1
36,30,237,1
37,30,157,1
38,54,1050,1
39,54,118,1
40,54,1002,1
41,54,36,1
42,59,860,1
43,59,1039,1
44,59,747,1
45,59,554,1
46,59,467,1
47,59,1061,1
48,59,430,1
49,59,199,1
50,59,164,1
51,59,935,1
52,59,901,1
53,59,344,1
54,59,918,1
55,59,1018,1
56,59,240,1
57,59,1031,1
58,59,990,1
59,72,127,1
60,72,806,1
61,72,415,1
62,72,307,1
63,72,971,1
64,72,723,1
65,72,311,1
66,72,1037,1
67,78,335,1
68,78,577,1
69,78,215,1
70,79,1148,1
71,79,573,1
72,79,332,1
73,79,4,1
74,79,763,1
75,79,1165,1
76,79,912,1
77,79,17,1
78,79,1171,1
79,79,714,1
80,79,1183,1
81,79,381,1
82,79,555,1
83,80,150,1
84,80,501,1
85,80,1154,1
86,80,1091,1
87,80,403,1
88,82,886,1
89,82,537,1
90,82,835,1
91,82,770,1
92,82,1150,1
93,82,440,1
94,82,511,1
95,82,341,1
96,82,1100,1
97,82,877,1
98,82,750,1
99,82,993,1
100,86,540,1
101,95,610,1
102,95,858,1
103,95,408,1
104,95,1175,1
105,95,246,1
106,95,1111,1
107,111,899,1
108,111,48,1
109,111,790,1
110,111,1130,1
111,111,66,1
112,111,950,1
113,111,886,1
114,111,57,1
115,111,611,1
116,111,102,1
117,111,1010,1
118,111,274,1
119,111,608,1
120,111,444,1
121,111,1083,1
122,111,228,1
123,111,813,1
124,111,868,1
125,111,996,1
126,111,265,1
127,111,198,1
128,111,237,1
129,111,466,1
130,111,765,1
131,111,992,1
132,111,313,1
133,111,297,1
134,111,588,1
135,111,749,1
136,111,420,1
137,111,169,1
138,118,350,1
139,118,24,1
140,118,933,1
141,118,608,1
142,118,899,1
143,118,827,1
144,118,886,1
145,118,885,1
146,118,790,1
147,118,228,1
148,118,66,1
149,118,424,1
150,118,198,1
151,118,975,1
152,118,992,1
153,118,434,1
154,118,1042,1
155,118,477,1
156,118,1095,1
157,118,993,1
158,118,1128,1
159,118,1135,1
160,118,418,1
161,118,145,1
162,118,444,1
163,118,189,1
164,118,169,1
165,118,297,1
166,118,576,1
167,118,996,1
168,118,265,1
169,118,237,1
170,118,54,1
171,118,366,1
172,118,301,1
173,118,838,1
174,118,1063,1
175,118,679,1
176,118,989,1
177,118,133,1
178,118,316,1
179,118,1130,1
180,125,515,1
181,141,540,1
182,141,143,1
183,141,1098,1
184,141,597,1
185,141,798,1
186,141,688,1
187,141,535,1
188,141,1177,1
189,141,1044,1
190,141,1074,1
191,141,552,1
192,141,150,1
193,141,1013,1
194,143,779,1
195,143,120,1
196,143,1013,1
197,143,510,1
198,143,96,1
199,143,1098,1
200,143,688,1
201,143,550,1
202,143,597,1
203,143,389,1
204,143,106,1
205,143,456,1
206,143,651,1
207,143,231,1
208,143,295,1
209,143,141,1
210,143,540,1
211,151,233,1
212,151,417,1
213,151,995,1
214,151,27,1
215,151,582,1
216,151,110,1
217,155,821,1
218,155,367,1
219,161,819,1
220,161,480,1
221,162,1100,1
222,162,685,1
223,162,1092,1
224,180,659,1
225,180,454,1
226,180,673,1
227,180,714,1
228,180,79,1
229,180,72,1
230,180,992,1
231,180,17,1
232,191,95,1
233,192,1070,1
234,192,23,1
235,192,133,1
236,192,750,1
237,202,482,1
238,202,677,1
239,206,301,1
240,206,803,1
241,206,660,1
242,206,790,1
243,206,648,1
244,206,939,1
245,206,1122,1
246,206,861,1
247,206,988,1
248,206,583,1
249,206,975,1
250,206,466,1
251,206,793,1
252,206,968,1
253,206,1000,1
254,206,145,1
255,206,543,1
256,206,963,1
257,206,992,1
258,215,1037,1
259,215,971,1
260,215,17,1
261,215,233,1
262,215,1083,1
263,215,78,1
264,215,307,1
265,215,806,1
266,215,415,1
267,216,1100,1
268,216,878,1
269,216,307,1
270,216,995,1
271,217,1050,1
272,217,1031,1
273,220,1196,1
274,233,601,1
275,233,215,1
276,233,151,1
277,233,276,1
278,236,186,1
279,244,886,1
280,244,133,1
281,244,765,1
282,244,899,1
283,244,420,1
284,244,993,1
285,244,440,1
286,255,1037,1
287,255,17,1
288,258,126,1
289,258,995,1
290,258,216,1
291,267,992,1
292,267,790,1
293,267,145,1
294,267,66,1
295,267,679,1
296,267,615,1
297,267,202,1
298,276,714,1
299,276,233,1
300,276,786,1
301,276,449,1
302,290,311,1
303,290,233,1
304,290,1083,1
305,290,215,1
306,291,646,1
307,291,195,1
308,297,885,1
309,297,234,1
310,297,855,1
311,297,1128,1
312,297,157,1
313,297,899,1
314,297,1095,1
315,297,748,1
316,297,440,1
317,297,444,1
318,297,975,1
319,297,53,1
320,297,281,1
321,297,265,1
322,297,732,1
323,297,992,1
324,297,1042,1
325,297,24,1
326,297,43,1
327,297,679,1
328,297,1130,1
329,297,424,1
330,297,838,1
331,297,615,1
332,297,111,1
333,297,118,1
334,297,993,1
335,297,477,1
336,297,950,1
337,297,350,1
338,297,608,1
339,297,537,1
340,297,315,1
341,297,1010,1
342,298,1061,1
343,298,161,1
344,306,56,1
345,306,317,1
346,306,338,1
347,306,670,1
348,306,577,1
349,307,541,1
350,307,1053,1
351,307,72,1
352,307,79,1
353,307,819,1
354,307,215,1
355,307,216,1
356,307,17,1
357,307,1037,1
358,307,714,1
359,307,849,1
360,307,1198,1
361,311,290,1
362,311,582,1
363,311,72,1
364,325,610,1
365,332,448,1
366,332,1036,1
367,332,79,1
368,332,215,1
369,335,670,1
370,335,577,1
371,340,1013,1
372,340,798,1
373,340,1165,1
374,340,1098,1
375,340,779,1
376,341,82,1
377,341,113,1
378,341,899,1
379,341,770,1
380,341,295,1
381,357,195,1
382,357,754,1
383,357,1196,1
384,357,835,1
385,357,1100,1
386,389,1154,1
387,389,1013,1
388,389,143,1
389,389,501,1
390,394,396,1
391,394,151,1
392,417,816,1
393,417,151,1
394,417,276,1
395,420,765,1
396,420,111,1
397,447,776,1
398,447,543,1
399,447,989,1
400,447,992,1
401,447,466,1
402,447,66,1
403,447,998,1
404,447,350,1
405,447,444,1
406,447,880,1
407,447,690,1
408,447,790,1
409,447,301,1
410,447,424,1
411,447,803,1
412,447,608,1
413,447,169,1
414,447,198,1
415,448,332,1
416,449,276,1
417,449,233,1
418,449,721,1
419,449,806,1
420,449,992,1
421,449,833,1
422,454,79,1
423,454,236,1
424,454,686,1
425,461,833,1
426,482,202,1
427,482,992,1
428,541,307,1
429,543,992,1
430,543,315,1
431,543,966,1
432,543,48,1
433,543,145,1
434,543,301,1
435,543,206,1
436,543,466,1
437,543,274,1
438,543,43,1
439,543,968,1
440,543,9,1
441,543,793,1
442,543,338,1
443,543,939,1
444,543,988,1
445,543,157,1
446,543,1122,1
447,543,444,1
448,543,1000,1
449,543,732,1
450,543,963,1
451,543,660,1
452,553,604,1
453,553,60,1
454,553,714,1
455,555,1111,1
456,577,938,1
457,577,306,1
458,577,113,1
459,577,417,1
460,577,670,1
461,577,756,1
462,577,951,1
463,577,706,1
464,582,1157,1
465,582,601,1
466,582,160,1
467,582,121,1
468,582,311,1
469,582,763,1
470,582,276,1
471,582,151,1
472,582,1118,1
473,582,307,1
474,588,53,1
475,588,111,1
476,588,537,1
477,588,1095,1
478,588,608,1
479,588,169,1
480,588,157,1
481,588,899,1
482,588,418,1
483,588,996,1
484,588,827,1
485,588,350,1
486,588,57,1
487,588,732,1
488,588,265,1
489,588,316,1
490,588,366,1
491,588,477,1
492,588,237,1
493,588,274,1
494,588,1128,1
495,588,440,1
496,588,48,1
497,588,615,1
498,588,280,1
499,588,855,1
500,588,456,1
501,588,975,1
502,588,576,1
503,588,1063,1
504,588,466,1
505,588,993,1
506,588,102,1
507,588,434,1
508,588,43,1
509,588,790,1
510,588,933,1
511,588,297,1
512,588,24,1
513,588,444,1
514,589,609,1
515,589,363,1
516,589,426,1
517,589,970,1
518,592,233,1
519,592,599,1
520,601,1157,1
521,601,932,1
522,605,150,1
523,605,1091,1
524,605,106,1
525,605,870,1
526,605,1053,1
527,609,589,1
528,609,180,1
529,609,932,1
530,609,1085,1
531,609,677,1
532,610,614,1
533,610,1098,1
534,610,325,1
535,610,558,1
536,614,806,1
537,643,287,1
538,646,1150,1
539,646,204,1
540,646,629,1
541,646,387,1
542,646,195,1
543,646,422,1
544,646,889,1
545,646,1137,1
546,658,582,1
547,658,714,1
548,670,468,1
549,670,756,1
550,670,78,1
551,670,335,1
552,672,816,1
553,673,180,1
554,677,418,1
555,677,510,1
556,677,477,1
557,677,992,1
558,677,1083,1
559,677,482,1
560,677,1070,1
561,677,1004,1
562,677,793,1
563,677,577,1
564,685,1100,1
565,685,488,1
566,685,82,1
567,685,393,1
568,686,454,1
569,686,760,1
570,686,885,1
571,686,677,1
572,706,1176,1
573,706,550,1
574,706,721,1
575,706,688,1
576,709,27,1
577,709,582,1
578,714,1083,1
579,714,17,1
580,714,553,1
581,714,477,1
582,714,276,1
583,714,659,1
584,714,658,1
585,714,57,1
586,714,79,1
587,714,992,1
588,714,1037,1
589,714,145,1
590,719,1150,1
591,719,646,1
592,719,886,1
593,719,889,1
594,719,1100,1
595,719,993,1
596,719,899,1
597,719,537,1
598,719,1137,1
599,719,780,1
600,719,133,1
601,719,770,1
602,721,951,1
603,721,577,1
604,721,706,1
605,721,714,1
606,721,415,1
607,749,537,1
608,749,748,1
609,749,933,1
610,749,350,1
611,749,975,1
612,749,157,1
613,749,466,1
614,749,838,1
615,749,950,1
616,749,885,1
617,749,48,1
618,749,111,1
619,749,418,1
620,749,1054,1
621,749,760,1
622,749,732,1
623,749,989,1
624,749,57,1
625,749,274,1
626,749,583,1
627,749,440,1
628,749,679,1
629,749,993,1
630,749,66,1
631,749,790,1
632,749,24,1
633,749,228,1
634,749,169,1
635,749,118,1
636,749,1042,1
637,749,855,1
638,749,608,1
639,750,125,1
640,750,82,1
641,750,192,1
642,750,313,1
643,750,835,1
644,750,686,1
645,750,488,1
646,751,584,1
647,751,1150,1
648,751,835,1
649,751,1100,1
650,756,78,1
651,756,577,1
652,763,79,1
653,763,1091,1
654,763,1171,1
655,763,307,1
656,763,483,1
657,765,899,1
658,765,770,1
659,765,855,1
660,765,234,1
661,765,341,1
662,765,813,1
663,765,111,1
664,770,320,1
665,770,341,1
666,770,798,1
667,770,995,1
668,770,295,1
669,770,82,1
670,770,855,1
671,770,886,1
672,770,537,1
673,770,100,1
674,770,993,1
675,770,412,1
676,770,440,1
677,772,133,1
678,772,192,1
679,786,276,1
680,786,442,1
681,802,1120,1
682,802,59,1
683,802,1018,1
684,802,840,1
685,806,1037,1
686,806,72,1
687,806,431,1
688,806,614,1
689,806,1036,1
690,806,1100,1
691,806,615,1
692,806,307,1
693,806,1150,1
694,806,215,1
695,813,113,1
696,813,341,1
697,813,855,1
698,813,899,1
699,813,765,1
700,816,878,1
701,816,995,1
702,816,1100,1
703,816,417,1
704,819,849,1
705,819,978,1
706,819,1037,1
707,819,161,1
708,819,541,1
709,833,461,1
710,833,449,1
711,834,877,1
712,834,577,1
713,835,751,1
714,835,806,1
715,835,195,1
716,835,750,1
717,835,82,1
718,835,1150,1
719,835,754,1
720,840,1120,1
721,840,240,1
722,840,344,1
723,840,59,1
724,840,1039,1
725,840,1002,1
726,840,990,1
727,840,1018,1
728,840,479,1
729,858,95,1
730,868,1010,1
731,868,466,1
732,868,1054,1
733,868,366,1
734,868,1004,1
735,868,588,1
736,868,748,1
737,868,133,1
738,868,444,1
739,868,838,1
740,868,608,1
741,868,1042,1
742,868,886,1
743,868,933,1
744,868,790,1
745,868,989,1
746,868,169,1
747,868,350,1
748,868,234,1
749,868,899,1
750,868,827,1
751,868,315,1
752,868,749,1
753,868,855,1
754,868,440,1
755,868,237,1
756,868,576,1
757,868,732,1
758,868,481,1
759,868,157,1
760,868,57,1
761,868,1130,1
762,868,537,1
763,868,297,1
764,870,1154,1
765,870,150,1
766,870,847,1
767,870,106,1
768,870,120,1
769,877,630,1
770,877,1031,1
771,877,840,1
772,877,573,1
773,877,479,1
774,877,240,1
775,877,1002,1
776,877,199,1
777,877,88,1
778,877,1018,1
779,877,635,1
780,877,1196,1
781,877,1120,1
782,877,1100,1
783,877,990,1
784,877,1039,1
785,878,995,1
786,878,126,1
787,878,1100,1
788,878,672,1
789,890,17,1
790,894,567,1
791,908,150,1
792,932,180,1
793,932,609,1
794,932,307,1
795,932,1157,1
796,938,577,1
797,939,48,1
798,939,988,1
799,939,966,1
800,939,648,1
801,939,1095,1
802,939,660,1
803,939,9,1
804,939,57,1
805,939,501,1
806,939,53,1
807,939,1122,1
808,939,1128,1
809,939,145,1
810,939,106,1
811,939,157,1
812,939,510,1
813,939,790,1
814,939,444,1
815,939,338,1
816,939,803,1
817,939,679,1
818,939,198,1
819,939,301,1
820,939,690,1
821,939,315,1
822,939,550,1
823,951,577,1
824,951,72,1
825,965,537,1
826,965,315,1
827,965,189,1
828,965,297,1
829,965,1010,1
830,965,48,1
831,965,679,1
832,965,313,1
833,965,418,1
834,965,133,1
835,965,748,1
836,965,1135,1
837,965,228,1
838,965,1130,1
839,965,234,1
840,965,855,1
841,965,477,1
842,965,57,1
843,965,281,1
844,965,100,1
845,965,996,1
846,965,145,1
847,965,444,1
848,965,521,1
849,965,1128,1
850,965,760,1
851,965,1095,1
852,965,1042,1
853,965,790,1
854,965,24,1
855,965,899,1
856,965,576,1
857,965,993,1
858,965,950,1
859,978,819,1
860,1008,885,1
861,1008,679,1
862,1037,311,1
863,1037,1101,1
864,1037,819,1
865,1037,307,1
866,1037,1198,1
867,1037,714,1
868,1037,255,1
869,1042,234,1
870,1042,868,1
871,1042,366,1
872,1042,965,1
873,1042,933,1
874,1042,297,1
875,1042,588,1
876,1042,886,1
877,1042,1128,1
878,1042,1135,1
879,1042,418,1
880,1042,118,1
881,1042,885,1
882,1042,1004,1
883,1042,1095,1
884,1053,311,1
885,1053,307,1
886,1058,628,1
887,1058,377,1
888,1058,763,1
889,1058,1151,1
890,1058,974,1
891,1058,4,1
892,1058,58,1
893,1070,899,1
894,1070,750,1
895,1070,192,1
896,1070,23,1
897,1070,677,1
898,1070,993,1
899,1083,215,1
900,1083,714,1
901,1083,795,1
902,1083,111,1
903,1083,677,1
904,1083,290,1
905,1092,754,1
906,1092,433,1
907,1092,1100,1
908,1092,195,1
909,1092,357,1
910,1093,270,1
911,1100,357,1
912,1100,1114,1
913,1100,133,1
914,1100,297,1
915,1100,754,1
916,1100,780,1
917,1100,889,1
918,1100,995,1
919,1100,1092,1
920,1100,345,1
921,1100,162,1
922,1100,393,1
923,1100,488,1
924,1100,537,1
925,1100,234,1
926,1100,750,1
927,1100,925,1
928,1100,993,1
929,1100,646,1
930,1100,806,1
931,1100,770,1
932,1100,886,1
933,1100,422,1
934,1100,511,1
935,1100,899,1
936,1100,1196,1
937,1101,1037,1
938,1101,1198,1
939,1101,819,1
940,1111,555,1
941,1111,738,1
942,1114,195,1
943,1114,433,1
944,1114,1196,1
945,1114,835,1
946,1114,1092,1
947,1118,709,1
948,1118,582,1
949,1137,422,1
950,1137,249,1
951,1137,646,1
952,1137,604,1
953,1137,925,1
954,1137,629,1
955,1137,719,1
956,1142,17,1
957,1150,751,1
958,1150,162,1
959,1150,629,1
960,1150,1100,1
961,1150,750,1
962,1150,685,1
963,1150,780,1
964,1150,422,1
965,1150,754,1
966,1150,82,1
967,1150,646,1
968,1150,719,1
969,1150,835,1
970,1157,601,1
971,1157,582,1
972,1175,714,1
973,1175,438,1
974,1175,239,1
975,1177,1074,1
976,1177,1098,1
977,1177,143,1
978,1177,552,1
979,1177,221,1
980,1177,597,1
981,1177,540,1
982,1177,907,1
983,1177,444,1
984,1177,847,1
985,1177,1044,1
986,1177,434,1
987,1196,357,1
988,1196,1050,1
989,1196,1100,1
990,1196,990,1
991,1198,17,1
992,1198,1037,1
993,1198,79,1
994,1198,849,1
995,1200,157,1
996,1200,388,1
997,4,174,0
998,4,902,0
999,4,497,0
1000,4,11,0
1001,17,1064,0
1002,17,677,0
1003,17,817,0
1004,17,1199,0
1005,17,28,0
1006,17,7,0
1007,17,1158,0
1008,17,278,0
1009,17,562,0
1010,17,1187,0
1011,17,126,0
1012,17,598,0
1013,17,840,0
1014,17,633,0
1015,17,719,0
1016,17,736,0
1017,17,842,0
1018,17,687,0
1019,23,1062,0
1020,23,369,0
1021,23,356,0
1022,27,589,0
1023,27,277,0
1024,27,751,0
1025,27,877,0
1026,30,566,0
1027,30,496,0
1028,30,419,0
1029,30,1199,0
1030,30,862,0
1031,30,957,0
1032,30,462,0
1033,30,269,0
1034,30,254,0
1035,54,792,0
1036,54,682,0
1037,54,1198,0
1038,54,1202,0
1039,59,1082,0
1040,59,604,0
1041,59,227,0
1042,59,194,0
1043,59,538,0
1044,59,255,0
1045,59,22,0
