,TF,Target,Label
0,14,659,1
1,14,412,1
2,14,862,1
3,14,1014,1
4,14,660,1
5,14,632,1
6,14,577,1
7,14,450,1
8,35,1044,1
9,35,706,1
10,35,85,1
11,35,661,1
12,35,397,1
13,35,874,1
14,35,1075,1
15,35,763,1
16,38,473,1
17,38,564,1
18,38,145,1
19,38,1110,1
20,38,312,1
21,38,309,1
22,38,1115,1
23,38,1108,1
24,38,815,1
25,59,791,1
26,75,397,1
27,75,688,1
28,75,85,1
29,75,618,1
30,75,467,1
31,75,1044,1
32,85,840,1
33,85,467,1
34,85,993,1
35,85,596,1
36,85,75,1
37,85,688,1
38,85,397,1
39,85,618,1
40,89,444,1
41,107,818,1
42,108,1106,1
43,128,951,1
44,128,353,1
45,138,1111,1
46,138,1023,1
47,138,9,1
48,138,329,1
49,162,990,1
50,162,502,1
51,171,862,1
52,175,1108,1
53,175,781,1
54,175,103,1
55,175,473,1
56,175,895,1
57,175,1092,1
58,175,924,1
59,175,1115,1
60,175,26,1
61,175,1110,1
62,175,361,1
63,175,863,1
64,175,951,1
65,175,477,1
66,175,1032,1
67,175,825,1
68,175,113,1
69,175,819,1
70,175,815,1
71,175,166,1
72,253,505,1
73,253,339,1
74,257,862,1
75,257,957,1
76,257,283,1
77,267,784,1
78,297,311,1
79,297,179,1
80,297,181,1
81,297,373,1
82,297,704,1
83,297,637,1
84,297,542,1
85,299,756,1
86,299,1125,1
87,302,532,1
88,302,412,1
89,311,952,1
90,311,1115,1
91,311,90,1
92,311,733,1
93,311,356,1
94,311,226,1
95,311,520,1
96,311,1108,1
97,311,1082,1
98,311,328,1
99,311,637,1
100,311,372,1
101,311,704,1
102,311,585,1
103,311,751,1
104,311,991,1
105,311,361,1
106,311,422,1
107,311,727,1
108,311,924,1
109,311,742,1
110,311,1018,1
111,311,163,1
112,311,546,1
113,311,179,1
114,311,145,1
115,311,895,1
116,311,103,1
117,311,297,1
118,311,181,1
119,311,904,1
120,319,507,1
121,319,435,1
122,333,691,1
123,348,786,1
124,348,392,1
125,356,198,1
126,356,784,1
127,356,51,1
128,356,786,1
129,356,1125,1
130,356,307,1
131,356,311,1
132,360,90,1
133,360,687,1
134,360,179,1
135,360,520,1
136,360,658,1
137,360,106,1
138,360,542,1
139,360,616,1
140,360,1019,1
141,387,512,1
142,387,957,1
143,387,793,1
144,387,77,1
145,387,926,1
146,387,870,1
147,387,498,1
148,387,106,1
149,387,276,1
150,387,231,1
151,387,4,1
152,387,1111,1
153,387,431,1
154,387,212,1
155,387,573,1
156,387,1009,1
157,387,1048,1
158,387,164,1
159,387,804,1
160,387,93,1
161,387,234,1
162,392,1115,1
163,392,952,1
164,392,1096,1
165,392,473,1
166,392,145,1
167,392,163,1
168,392,1110,1
169,406,468,1
170,406,789,1
171,406,719,1
172,406,92,1
173,412,1002,1
174,412,299,1
175,412,484,1
176,412,556,1
177,412,529,1
178,412,1047,1
179,412,302,1
180,412,532,1
181,412,1021,1
182,412,862,1
183,422,10,1
184,422,76,1
185,422,564,1
186,422,924,1
187,422,991,1
188,422,1019,1
189,422,1110,1
190,422,637,1
191,422,546,1
192,422,395,1
193,422,270,1
194,422,751,1
195,422,825,1
196,422,687,1
197,422,179,1
198,422,361,1
199,422,312,1
200,422,516,1
201,422,992,1
202,422,226,1
203,422,890,1
204,422,311,1
205,422,473,1
206,422,350,1
207,422,781,1
208,422,895,1
209,422,542,1
210,422,408,1
211,422,103,1
212,422,904,1
213,422,396,1
214,422,113,1
215,422,1108,1
216,422,213,1
217,422,602,1
218,422,716,1
219,422,583,1
220,422,235,1
221,422,1115,1
222,422,22,1
223,422,817,1
224,422,977,1
225,422,27,1
226,422,727,1
227,438,320,1
228,438,728,1
229,438,889,1
230,438,950,1
231,457,473,1
232,457,751,1
233,460,1044,1
234,460,616,1
235,460,955,1
236,460,763,1
237,465,792,1
238,465,210,1
239,465,862,1
240,465,632,1
241,465,957,1
242,502,963,1
243,502,786,1
244,502,506,1
245,502,481,1
246,502,951,1
247,502,621,1
248,502,993,1
249,506,502,1
250,506,925,1
251,506,578,1
252,515,354,1
253,515,472,1
254,524,1115,1
255,524,824,1
256,524,934,1
257,524,1096,1
258,526,1044,1
259,526,402,1
260,528,1096,1
261,532,412,1
262,532,691,1
263,572,796,1
264,572,275,1
265,572,136,1
266,572,9,1
267,572,1095,1
268,577,541,1
269,577,7,1
270,577,662,1
271,577,789,1
272,577,301,1
273,577,719,1
274,577,468,1
275,577,1025,1
276,577,835,1
277,585,895,1
278,585,312,1
279,585,469,1
280,585,531,1
281,585,350,1
282,585,1018,1
283,585,819,1
284,585,372,1
285,585,422,1
286,585,395,1
287,585,564,1
288,585,828,1
289,585,815,1
290,585,1115,1
291,585,751,1
292,585,863,1
293,585,311,1
294,585,76,1
295,585,1108,1
296,585,309,1
297,585,602,1
298,585,90,1
299,585,952,1
300,585,137,1
301,585,994,1
302,585,977,1
303,585,904,1
304,585,991,1
305,585,542,1
306,585,520,1
307,585,825,1
308,585,824,1
309,585,473,1
310,585,618,1
311,585,213,1
312,585,637,1
313,585,408,1
314,607,1123,1
315,616,1019,1
316,616,35,1
317,616,687,1
318,616,460,1
319,616,1044,1
320,616,658,1
321,616,1048,1
322,616,976,1
323,616,704,1
324,621,502,1
325,622,897,1
326,622,756,1
327,622,556,1
328,622,951,1
329,658,686,1
330,658,846,1
331,658,704,1
332,658,360,1
333,658,963,1
334,670,499,1
335,670,1005,1
336,670,289,1
337,670,1080,1
338,676,361,1
339,676,1050,1
340,676,951,1
341,676,444,1
342,676,734,1
343,676,1108,1
344,676,245,1
345,676,825,1
346,676,477,1
347,676,430,1
348,676,781,1
349,676,537,1
350,676,819,1
351,676,163,1
352,676,76,1
353,676,166,1
354,676,1115,1
355,676,39,1
356,676,1082,1
357,676,1092,1
358,676,328,1
359,676,192,1
360,676,408,1
361,691,1115,1
362,691,957,1
363,691,803,1
364,691,198,1
365,716,254,1
366,716,309,1
367,716,698,1
368,716,952,1
