,TF,Target,Label
0,7,10,1
1,7,88,1
2,7,240,1
3,10,508,1
4,57,498,1
5,63,274,1
6,63,172,1
7,63,554,1
8,63,558,1
9,63,219,1
10,63,518,1
11,63,439,1
12,65,98,1
13,65,88,1
14,77,82,1
15,77,493,1
16,98,365,1
17,98,508,1
18,98,65,1
19,98,431,1
20,98,117,1
21,98,88,1
22,98,448,1
23,138,556,1
24,138,540,1
25,140,329,1
26,140,523,1
27,181,349,1
28,182,556,1
29,182,223,1
30,182,480,1
31,182,316,1
32,240,547,1
33,242,98,1
34,275,532,1
35,292,63,1
36,292,403,1
37,292,363,1
38,292,230,1
39,292,518,1
40,292,274,1
41,292,554,1
42,313,24,1
43,316,182,1
44,316,399,1
45,316,140,1
46,316,191,1
47,329,140,1
48,349,556,1
49,349,535,1
50,422,7,1
51,422,547,1
52,480,349,1
53,480,186,1
54,480,140,1
55,480,523,1
56,488,523,1
57,508,98,1
58,508,182,1
59,518,363,1
60,518,530,1
61,518,554,1
62,518,63,1
63,518,230,1
64,518,403,1
65,518,439,1
66,523,480,1
67,523,508,1
68,523,488,1
69,523,86,1
70,540,138,1
71,547,7,1
72,547,240,1
73,7,492,0
74,7,161,0
75,7,14,0
76,10,79,0
77,57,463,0
78,63,465,0
79,63,517,0
80,63,480,0
81,63,418,0
82,63,200,0
83,63,343,0
84,63,351,0
85,65,114,0
86,65,301,0
87,77,33,0
88,77,491,0
89,98,295,0
90,98,395,0
91,98,159,0
92,98,491,0
93,98,243,0
94,98,152,0
95,98,298,0
96,138,159,0
97,138,442,0
98,140,485,0
99,140,555,0
100,181,332,0
101,182,370,0
102,182,340,0
103,182,539,0
104,182,302,0
105,240,412,0
106,242,349,0
107,275,170,0
108,292,531,0
109,292,55,0
110,292,454,0
111,292,559,0
112,292,0,0
113,292,480,0
114,292,5,0
115,313,216,0
116,316,214,0
117,316,42,0
118,316,511,0
119,316,289,0
120,329,537,0
121,349,50,0
122,349,47,0
123,422,118,0
124,422,436,0
125,480,26,0
126,480,486,0
127,480,177,0
128,480,473,0
129,488,112,0
130,508,197,0
131,508,14,0
132,518,405,0
133,518,509,0
134,518,135,0
135,518,484,0
136,518,155,0
137,518,186,0
138,518,542,0
139,523,379,0
140,523,526,0
141,523,142,0
142,523,349,0
143,540,459,0
144,547,24,0
145,547,399,0
