,TF,Target,Value
0,HCFC1,VDR,0.9739999771118164
1,HCFC1,DUSP1,0.9509999752044678
2,HCFC1,MPL,0.949999988079071
3,HCFC1,S100A6,0.949999988079071
4,HCFC1,GNG11,0.9459999799728394
5,HCFC1,FOXO1,0.9390000104904175
6,HCFC1,SRSF1,0.9350000023841858
7,HCFC1,ABCG2,0.9210000038146973
8,HCFC1,SGMS1,0.9210000038146973
9,HCFC1,CALCRL,0.9110000133514404
10,HCFC1,CHRNB1,0.9010000228881836
11,HCFC1,MEIS1,0.8840000033378601
12,HCFC1,GIMAP6,0.878000020980835
13,HCFC1,PGLYRP2,0.8740000128746033
14,HCFC1,LDHB,0.8560000061988831
15,HCFC1,CTLA2A,0.8550000190734863
16,HCFC1,CDC45,0.847000002861023
17,HCFC1,GMIP,0.8360000252723694
18,HCFC1,PRDM16,0.8309999704360962
19,HCFC1,RHOF,0.8259999752044678
20,HCFC1,LAP3,0.8220000267028809
21,HCFC1,FGFR1OP,0.8169999718666077
22,HCFC1,TSPAN14,0.8119999766349792
23,HCFC1,HLF,0.8109999895095825
24,HCFC1,IPO9,0.8080000281333923
