,TF,Target,Value
0,HDAC2,GNG11,0.9589999914169312
1,HDAC2,S100A6,0.9559999704360962
2,HDAC2,MPL,0.9459999799728394
3,HDAC2,SRSF1,0.9419999718666077
4,HDAC2,VDR,0.9399999976158142
5,HDAC2,CALCRL,0.9369999766349792
6,HDAC2,DUSP1,0.9229999780654907
7,HDAC2,ABCG2,0.9160000085830688
8,HDAC2,GMIP,0.902999997138977
9,HDAC2,PGLYRP2,0.9010000228881836
10,HDAC2,MORC3,0.8889999985694885
11,HDAC2,SGMS1,0.8859999775886536
12,HDAC2,RHOF,0.878000020980835
13,HDAC2,PROCR,0.8730000257492065
14,HDAC2,CHRNB1,0.8579999804496765
15,HDAC2,FOXO1,0.8489999771118164
16,HDAC2,SPNS2,0.8289999961853027
17,HDAC2,LDHB,0.828000009059906
18,HDAC2,TSPAN14,0.8080000281333923
19,HDAC2,TCP11L2,0.8029999732971191
20,HDAC2,CTLA2A,0.800000011920929
21,HDAC2,LAP3,0.7870000004768372
22,HDAC2,CDC45,0.7620000243186951
23,HDAC2,RAB37,0.7480000257492065
24,HDAC2,GIMAP6,0.7459999918937683
