,TF,Target,Value
0,MYC,RHOF,0.9449999928474426
1,MYC,GNG11,0.9160000085830688
2,MYC,MPL,0.8889999985694885
3,MYC,SGMS1,0.8629999756813049
4,MYC,CTLA2A,0.8040000200271606
5,MYC,MORC3,0.7879999876022339
6,MYC,LAP3,0.7419999837875366
7,MYC,ABCG2,0.7329999804496765
8,MYC,CTLA2B,0.7260000109672546
9,MYC,SRSF1,0.7170000076293945
10,MYC,PROCR,0.7070000171661377
11,MYC,TRMT11,0.6949999928474426
12,MYC,VDR,0.6899999976158142
13,MYC,S100A6,0.6859999895095825
14,MYC,OSBPL1A,0.6769999861717224
15,MYC,PGLYRP2,0.6650000214576721
16,MYC,SCARF1,0.6650000214576721
17,MYC,SERPINB9,0.6570000052452087
18,MYC,TCP11L2,0.6539999842643738
19,MYC,ESAM,0.652999997138977
20,MYC,DUSP1,0.6420000195503235
21,MYC,MYCT1,0.6370000243186951
22,MYC,CALCRL,0.6359999775886536
23,MYC,RPRD1B,0.625
24,MYC,PRKCH,0.6119999885559082
