,TF,Target,Value
0,SPI1,RPRD1B,0.9769999980926514
1,SPI1,MORC3,0.9700000286102295
2,SPI1,RHOF,0.9679999947547913
3,SPI1,MPL,0.953000009059906
4,SPI1,ABCG2,0.9470000267028809
5,SPI1,GNG11,0.9470000267028809
6,SPI1,SGMS1,0.9430000185966492
7,SPI1,PGLYRP2,0.9409999847412109
8,SPI1,LAP3,0.925000011920929
9,SPI1,CALCRL,0.9190000295639038
10,SPI1,SRSF1,0.9139999747276306
11,SPI1,S100A6,0.9010000228881836
12,SPI1,VDR,0.8999999761581421
13,SPI1,CTLA2A,0.8960000276565552
14,SPI1,GMIP,0.8920000195503235
15,SPI1,PLD3,0.8899999856948853
16,SPI1,SMPDL3A,0.8859999775886536
17,SPI1,SCARF1,0.8759999871253967
18,SPI1,DUSP1,0.8700000047683716
19,SPI1,GTF2H1,0.8619999885559082
20,SPI1,OSBPL1A,0.8610000014305115
21,SPI1,SPNS2,0.8600000143051147
22,SPI1,SERPINB9,0.8320000171661377
23,SPI1,PROCR,0.8289999961853027
24,SPI1,CTLA2B,0.8159999847412109
