ablation,cell_type,net_type,gene_num,K,K_used,tp,precision_at_k,recall_at_k
full_model,mHSC-GM,Specific,500,50,50,48,0.96,0.027429
full_model,mHSC-GM,Specific,500,100,100,93,0.93,0.053143
full_model,mHSC-GM,Specific,500,200,200,178,0.89,0.101714
w/o D,mHSC-GM,Specific,500,50,50,22,0.44,0.012571
w/o D,mHSC-GM,Specific,500,100,100,38,0.38,0.021714
w/o D,mHSC-GM,Specific,500,200,200,64,0.32,0.036571
w/o H,mHSC-GM,Specific,500,50,50,45,0.9,0.025714
w/o H,mHSC-GM,Specific,500,100,100,85,0.85,0.048571
w/o H,mHSC-GM,Specific,500,200,200,156,0.78,0.089143
w/o E,mHSC-GM,Specific,500,50,50,47,0.94,0.026857
w/o E,mHSC-GM,Specific,500,100,100,91,0.91,0.052
w/o E,mHSC-GM,Specific,500,200,200,173,0.865,0.098857
w/o M,mHSC-GM,Specific,500,50,50,13,0.26,0.007429
w/o M,mHSC-GM,Specific,500,100,100,21,0.21,0.012
w/o M,mHSC-GM,Specific,500,200,200,36,0.18,0.020571
