ablation,cell_type,net_type,gene_num,K,K_used,tp,precision_at_k,recall_at_k
full_model,mHSC-GM,Specific,500,50,50,50,1.0,0.029308323563892145
full_model,mHSC-GM,Specific,500,100,100,100,1.0,0.05861664712778429
full_model,mHSC-GM,Specific,500,200,200,199,0.995,0.11664712778429073
w/o D,mHSC-GM,Specific,500,50,50,20,0.4,0.011723329425556858
w/o D,mHSC-GM,Specific,500,100,100,34,0.34,0.01992966002344666
w/o D,mHSC-GM,Specific,500,200,200,70,0.35,0.041031652989449004
w/o H,mHSC-GM,Specific,500,50,50,46,0.92,0.026963657678780773
w/o H,mHSC-GM,Specific,500,100,100,86,0.86,0.05041031652989449
w/o H,mHSC-GM,Specific,500,200,200,163,0.815,0.0955451348182884
w/o E,mHSC-GM,Specific,500,50,50,50,1.0,0.029308323563892145
w/o E,mHSC-GM,Specific,500,100,100,100,1.0,0.05861664712778429
w/o E,mHSC-GM,Specific,500,200,200,198,0.99,0.1160609613130129
w/o M,mHSC-GM,Specific,500,50,50,12,0.24,0.007033997655334115
w/o M,mHSC-GM,Specific,500,100,100,19,0.19,0.011137162954279016
w/o M,mHSC-GM,Specific,500,200,200,41,0.205,0.02403282532239156
